Data Type,8086 Native Support,8087 Support,Hybrid 8086+8087
8-bit Integer,"Yes (AH, AL, etc.)",No (Converted to floating-point),Converted via 8087
16-bit Integer,"Yes (AX, BX, etc.)",Yes (FILD/FISTP),Converted via 8087
32-bit Integer,Yes (via register pairs DX:AX),Yes (FILD/FISTP),Converted via 8087
64-bit Integer,Limited (via software),Yes (FILD/FISTP),Converted via 8087
32-bit Floating-Point (Single Precision),No (Software emulation only),Yes (IEEE 754 Single Precision),Accelerated via 8087
64-bit Floating-Point (Double Precision),No (Software emulation only),Yes (IEEE 754 Double Precision),Accelerated via 8087
80-bit Floating-Point (Extended Precision),No (Not supported),Yes (Internal 80-bit Extended Precision),Fully supported via 8087
80-bit Packed BCD,No (Not supported),Yes (Used for BCD operations),Fully supported via 8087
128-bit Floating-Point,No (Not supported),No (Not supported),Not possible
160-bit Floating-Point,No (Not supported),No (Not supported),Not possible
