energy_ev,n,k
0.640084,0.24,14.08
0.770088,0.15,11.85
0.890052,0.13,10.1
1.019607,0.09,8.828
1.139561,0.04,7.795
1.260002,0.04,6.992
1.389957,0.04,6.312
1.509977,0.04,5.727
1.640003,0.03,5.242
1.759889,0.04,4.838
1.879973,0.05,4.483
2.01012,0.06,4.152
2.129947,0.05,3.858
2.260011,0.06,3.586
2.380192,0.05,3.324
2.500185,0.05,3.093
2.630127,0.05,2.869
2.749705,0.04,2.657
2.880005,0.04,2.462
2.99986,0.05,2.275
3.119884,0.05,2.07
3.249913,0.05,1.864
3.370052,0.07,1.657
3.500401,0.1,1.419
3.619977,0.14,1.142
3.740096,0.17,0.829
3.869669,0.81,0.392
3.99048,1.13,0.616
4.120445,1.34,0.964
4.240226,1.39,1.161
4.359501,1.41,1.264
4.490554,1.41,1.331
4.610792,1.38,1.372
4.739457,1.35,1.387
4.860219,1.33,1.393
4.979285,1.31,1.389
5.110643,1.3,1.378
5.229194,1.28,1.367
5.36032,1.28,1.357
5.481176,1.26,1.344
5.600009,1.25,1.342
5.729399,1.22,1.336
5.851071,1.2,1.325
5.980907,1.18,1.312
6.098583,1.15,1.296
6.220983,1.14,1.277
6.348397,1.12,1.255
6.470992,1.1,1.232
6.598414,1.07,1.212
7.165345,1.05833333,1.08978611
7.732276,1.04666667,0.967572217
8.299207,1.035,0.845358325
8.866138,1.02333333,0.723144433
9.433069,1.01166667,0.600930542
10.0,1.0,0.47871665
10.1617,1.0,0.480709126
10.3261,1.0,0.482704061
10.4931,1.0,0.484711205
10.6628,1.0,0.490829906
10.8353,1.0,0.500520464
11.0106,1.0,0.510403777
11.1886,1.0,0.520491796
11.3696,1.0,0.530769205
11.5535,1.0,0.540691354
11.7404,1.0,0.550682386
11.9303,1.0,0.560861016
12.1232,1.0,0.571233291
12.3193,1.0,0.58179138
12.5186,1.0,0.592542586
12.721,1.0,0.603358256
12.9268,1.0,0.611779416
13.1359,1.0,0.620321189
13.3483,1.0,0.628987626
13.5642,1.0,0.637772742
13.7836,1.0,0.646675534
14.0066,1.0,0.655700476
14.2331,1.0,0.664861346
14.4633,1.0,0.671064915
14.6973,1.0,0.674096322
14.935,1.0,0.677152258
15.1765,1.0,0.680223463
15.422,1.0,0.683301796
15.6714,1.0,0.686399465
15.9249,1.0,0.684137552
16.1825,1.0,0.68061231
16.4442,1.0,0.67710912
16.7102,1.0,0.673620278
16.9805,1.0,0.670148506
17.2551,1.0,0.664620025
17.5342,1.0,0.655227571
17.8178,1.0,0.645967471
18.106,1.0,0.636837388
18.3989,1.0,0.631008878
18.6964,1.0,0.630641139
18.9988,1.0,0.630268003
19.3061,1.0,0.629894444
19.6184,1.0,0.629518225
19.9357,1.0,0.629146169
20.2582,1.0,0.632234698
20.5858,1.0,0.635763411
20.9188,1.0,0.639306503
21.2571,1.0,0.642875159
21.6009,1.0,0.64646105
21.9503,1.0,0.645057494
22.3053,1.0,0.642193483
22.6661,1.0,0.639339292
23.0327,1.0,0.636498684
23.4053,1.0,0.633668509
23.7838,1.0,0.629312521
24.1685,1.0,0.613295634
24.5594,1.0,0.597687943
24.9566,1.0,0.582478782
25.3603,1.0,0.567652741
25.7705,1.0,0.553209624
26.1873,1.0,0.542727253
26.6109,1.0,0.53244013
27.0413,1.0,0.522351242
27.4786,1.0,0.512454809
27.9231,1.0,0.502741316
28.3747,1.0,0.49368247
28.8337,1.0,0.487119893
29.3,1.08555952,0.480650911
29.7739,1.07873386,0.474266863
30.2555,1.07171261,0.467964382
30.7449,1.06436303,0.461744686
31.2421,1.0566467,0.454871217
31.7475,1.04959055,0.447726597
32.2609,1.04285543,0.440700697
32.7827,1.03628333,0.433785993
33.313,1.02980723,0.426976108
33.8518,1.02328193,0.420274834
34.3993,1.01639794,0.413677119
34.9557,1.00957153,0.405770737
35.5211,1.00368214,0.397778346
36.0956,0.998313495,0.389942825
36.6794,0.993318602,0.38226235
37.2727,0.988628677,0.37473215
37.8755,0.984200369,0.367351661
38.4882,0.980000617,0.360115313
39.1107,0.976002338,0.353021775
39.7432,0.972179734,0.346069439
40.3861,0.968503337,0.339250812
41.0393,0.964901686,0.33256964
41.7031,0.961447553,0.325783523
42.3776,0.958247873,0.319108382
43.063,0.955248867,0.312569268
43.7595,0.952405667,0.306166891
44.4673,0.94970099,0.299891409
45.1865,0.947117411,0.293747117
45.9174,0.944640667,0.287729273
46.66,0.942248927,0.281833409
47.4147,0.939880476,0.27605966
48.1816,0.937599889,0.270232183
48.9609,0.935501396,0.264490762
49.7528,0.933530301,0.25886861
50.5576,0.93166171,0.253366872
51.3753,0.92987801,0.247983113
52.2062,0.92816794,0.242713615
53.0506,0.926519762,0.23755634
53.9087,0.924922265,0.232507381
54.7806,0.9233611,0.227566617
55.6667,0.921821367,0.222730008
56.567,0.920277425,0.217996916
57.482,0.918622184,0.213364051
58.4117,0.916862228,0.208544391
59.3564,0.91537676,0.203583971
60.3165,0.914067913,0.198740285
61.2921,0.912861789,0.194012573
62.2834,0.911725109,0.189398232
63.2908,0.910635825,0.184892544
64.3145,0.909574062,0.180494227
65.3547,0.908521808,0.176201914
66.4118,0.907454024,0.172013121
67.4859,0.906343675,0.167925177
68.5775,0.905148836,0.163932715
69.6867,0.903786005,0.16003601
70.8138,0.901867015,0.156133541
71.9591,0.900250086,0.151264653
73.123,0.898994188,0.146546511
74.3057,0.897872422,0.141976339
75.5076,0.896577554,0.137548411
76.7289,0.895266658,0.132544777
77.9699,0.894382648,0.127408025
79.231,0.893862236,0.12247051
80.5125,0.893405912,0.117724629
81.8147,0.893005777,0.112948936
83.138,0.89275484,0.108259233
84.4827,0.89258855,0.103764411
85.8491,0.892406473,0.0994565879
87.2377,0.891498656,0.0953266922
88.6487,0.890728113,0.0901414457
90.0825,0.890589555,0.0850553288
