dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5
-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,0.5
-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,-0.5
-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5
-0.5,-0.5,-0.5,-0.5,0.5,-0.5,0.5,-0.5
-0.5,-0.5,-0.5,-0.5,0.5,0.5,-0.5,-0.5
-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5
-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5
-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5,-0.5
-0.5,-0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5
-0.5,-0.5,-0.5,0.5,-0.5,0.5,0.5,0.5
-0.5,-0.5,-0.5,0.5,0.5,-0.5,-0.5,-0.5
-0.5,-0.5,-0.5,0.5,0.5,-0.5,0.5,0.5
-0.5,-0.5,-0.5,0.5,0.5,0.5,-0.5,0.5
-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,-0.5
-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,0.5
-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5,-0.5
-0.5,-0.5,0.5,-0.5,-0.5,0.5,-0.5,-0.5
-0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5
-0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5,-0.5
-0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,0.5
-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
-0.5,-0.5,0.5,-0.5,0.5,0.5,0.5,-0.5
