Dimension,Gamma,Perturbation Max,Scale,Nonlinear Factor,Frequency Shift,Iteration,Perturbation Magnitude,Quantum Coherence
32,5,0.3,2,1,0.0,0,0.0,1.0
32,5,0.3,2,1,0.0,1,0.038363148505351795,0.8254589514607006
32,5,0.3,2,1,0.0,2,0.07609637517285221,0.6835319522898016
32,5,0.3,2,1,0.0,3,0.11258010146381224,0.5695546682315666
32,5,0.3,2,1,0.0,4,0.14721526560118134,0.4789896314700072
32,5,0.3,2,1,0.0,5,0.1794331591473647,0.4077235956761518
32,5,0.3,2,1,0.0,6,0.20870476518104591,0.3522113611038498
32,5,0.3,2,1,0.0,7,0.23454944474040895,0.30951546398292057
32,5,0.3,2,1,0.0,8,0.2565428289016038,0.2772836902073272
32,5,0.3,2,1,0.0,9,0.2743237869047437,0.2536959098443235
32,5,0.3,2,1,0.0,10,0.2876003559109982,0.2374016659013698
32,5,0.3,2,1,0.0,11,0.29615453502433503,0.22746186634064974
32,5,0.3,2,1,0.0,12,0.2998458648602064,0.22330218742066765
32,5,0.3,2,1,0.0,13,0.2986137338847594,0.2246821214147832
32,5,0.3,2,1,0.0,14,0.29247837365454715,0.2316814599389116
32,5,0.3,2,1,0.0,15,0.2815405266149282,0.24470481463215038
32,5,0.3,2,1,0.0,16,0.2659797919119,0.2645039855489001
32,5,0.3,2,1,0.0,17,0.24605167637908681,0.2922170643266788
32,5,0.3,2,1,0.0,18,0.22208339912259475,0.32942156508295845
32,5,0.3,2,1,0.0,19,0.1944685185923365,0.3781960401896141
32,5,0.3,2,1,0.0,20,0.16366047036316467,0.44117998752789794
32,5,0.3,2,1,0.0,21,0.13016512173526745,0.5216149491102723
32,5,0.3,2,1,0.0,22,0.09453246540708639,0.6233405208856927
32,5,0.3,2,1,0.0,23,0.05734758861041176,0.750708431422635
32,5,0.3,2,1,0.0,24,0.019221065994213967,0.9083683326194316
32,5,0.3,2,1,0.0,25,0.019221065994213894,0.908368332619432
32,5,0.3,2,1,0.0,26,0.057347588610411566,0.7507084314226359
32,5,0.3,2,1,0.0,27,0.09453246540708608,0.6233405208856937
32,5,0.3,2,1,0.0,28,0.1301651217352674,0.5216149491102724
32,5,0.3,2,1,0.0,29,0.1636604703631645,0.4411799875278984
32,5,0.3,2,1,0.0,30,0.19446851859233635,0.37819604018961445
32,5,0.3,2,1,0.0,31,0.22208339912259453,0.32942156508295883
32,5,0.3,2,1,0.0,32,0.2460516763790867,0.29221706432667893
32,5,0.3,2,1,0.0,33,0.26597979191189997,0.26450398554890014
32,5,0.3,2,1,0.0,34,0.28154052661492807,0.2447048146321506
32,5,0.3,2,1,0.0,35,0.29247837365454704,0.2316814599389117
32,5,0.3,2,1,0.0,36,0.29861373388475937,0.2246821214147834
32,5,0.3,2,1,0.0,37,0.2998458648602064,0.22330218742066765
32,5,0.3,2,1,0.0,38,0.29615453502433503,0.22746186634064974
32,5,0.3,2,1,0.0,39,0.2876003559109983,0.2374016659013696
