index,value
0,3.785065964886e+01
1,8.652403500715e+01
2,1.099025116484e+01
3,5.975752609336e+01
4,1.842870622349e+01
5,8.465395979234e+01
6,5.790439538535e+01
7,4.030487826703e+01
8,2.498246736518e+01
9,4.368446991896e+01
10,9.576123259217e+01
11,5.092092897436e+01
12,4.694895316999e+01
13,7.462738135003e+01
14,3.790470708319e+01
15,4.274239498808e+01
16,3.369477315716e+01
17,1.509197553294e+01
18,7.138092142027e+01
19,8.730309138836e+01
20,9.055926492428e+01
21,8.808029380378e+01
22,4.517838024380e+01
23,2.840661922032e+01
24,6.379237496008e+01
25,9.547049119060e+01
26,7.270506481686e+01
27,4.948485615902e+01
28,6.888085745134e+01
29,7.725379124544e+01
30,9.192692613281e+01
31,7.632157539722e+01
32,4.331905556359e+01
33,2.736065184655e+01
34,4.998816647296e+01
35,3.281779446055e+01
36,9.427645926878e+01
37,5.079658434500e+01
38,4.720563359640e+01
39,3.481962181549e+01
40,6.394069902916e+01
41,5.200512786209e+01
42,1.290489228983e+01
43,8.692078108305e+01
44,3.590128321438e+01
45,4.325784299582e+01
46,2.056670566636e+01
47,5.533982076179e+01
48,7.020550624286e+01
49,8.811653206259e+01
50,5.160766497226e+00
51,9.733319096994e+01
52,7.038177420204e+01
53,2.842986844115e+01
54,2.044747550140e+01
55,2.960879186546e+01
56,8.757257516664e+01
57,2.913901731960e+01
58,4.628211345572e+01
59,7.057380542422e+01
60,8.719898637239e+01
61,6.585711623461e+01
62,7.531091965344e+01
63,1.733267962960e+01
64,8.774078276911e+01
65,2.757191836181e+01
66,1.283781640565e+01
67,9.762442903407e+01
68,2.016399254542e+01
69,1.366519700780e+01
70,6.260209001018e+01
71,3.188631494961e+01
72,1.333492051805e+01
73,6.011211172159e+01
74,7.589852272222e+01
75,7.931983742072e+01
76,1.555126010123e+01
77,5.568670679399e+01
78,8.136783706815e+01
79,1.610870114242e+01
80,2.076822517707e+01
81,2.411397431678e-01
82,5.246341563953e+01
83,1.946816968620e+01
84,7.242425757269e+01
85,9.622138556176e+01
86,2.087554889991e+01
87,6.490970117635e+01
88,2.118344614585e+01
89,1.800685897970e+00
90,7.585541942146e+01
91,4.340046766509e+01
92,9.467868615147e+01
93,5.342858821434e+01
94,1.574828689757e+01
95,4.497744417973e+01
96,2.028917948060e+01
97,8.780292726866e+01
98,6.909031808875e+01
99,3.412388046547e+01
100,5.278203228071e+01
101,6.694801882130e+01
102,7.828577166454e+01
103,8.014720987054e+00
104,2.251884199525e+00
105,1.144526971699e+01
106,3.949963101726e+01
107,4.667066100821e+01
108,1.364616302138e+01
109,4.111531378996e+01
110,4.416227863618e+01
111,1.090899636775e+01
112,9.166599601957e+01
113,5.991459275877e+01
114,3.885355304563e+01
115,5.069071834722e+01
116,3.141974864688e+01
117,8.543310316446e+01
118,5.750150415685e+01
119,4.948958143935e+01
120,9.108854030956e+01
121,8.379796982341e+01
122,8.128018914258e+01
123,2.256092042318e+01
124,1.531231114684e+01
125,6.900965197127e+01
126,4.686422563414e+01
127,6.837127129568e+01
128,7.606272321111e+01
129,2.953135073448e+01
130,2.846504331228e+01
131,4.908315662582e+01
132,2.735493135265e+01
133,6.672952760162e+01
134,7.467304458807e+01
135,4.720389460532e+01
136,7.237997655986e+01
137,5.104375690708e+01
138,7.128717219670e+01
139,2.249682477957e+01
140,7.388430459330e+01
141,7.151240234570e+01
142,2.666057070492e+01
143,5.559709910402e+01
144,8.553116678744e+01
145,2.495226469724e+01
146,7.359797840147e+01
147,9.539667171469e+01
148,8.662419197576e+01
149,4.015200826803e+01
150,6.072077329881e+01
151,9.917701342527e+01
152,5.684374113757e+01
153,1.150276024304e+01
154,4.543075477876e+00
155,7.903145097440e+01
156,4.236283254018e+01
157,2.468128906292e+01
158,3.476720306609e+01
159,7.573728665465e+01
160,4.652473356338e+01
161,8.684994925259e+01
162,7.349255887777e+01
163,9.740141504454e+01
164,8.885037667898e+01
165,2.545472117860e+01
166,6.590592328026e+01
167,2.054303452814e+00
168,9.911067244296e+01
169,2.610061088026e+01
170,6.647950936236e+01
171,8.491536211996e+01
172,1.604646627280e+01
173,8.478793428105e+01
174,1.224566579082e+00
175,4.419771380854e+01
176,4.720376225311e+01
177,3.740907132587e+01
178,5.863847463005e+01
179,9.148423487026e+01
180,3.269891143003e+01
181,5.792598871664e+01
182,8.774625257433e+01
183,7.729953951014e+01
184,4.073326480550e+00
185,9.427907641277e+01
186,4.664690425861e+00
187,5.887584743743e+01
188,5.753536203152e+01
189,7.863902307023e+01
190,1.484430518490e+01
191,1.793703920627e+01
192,7.521069327384e+01
193,1.495047524116e+01
194,4.694451270656e+01
195,7.316480902109e+01
196,6.512419287827e+01
197,2.106041861131e+01
198,3.039602586861e+01
199,9.689749032410e+01
200,4.486706201549e+01
201,4.445747643638e+00
202,2.195848994663e+01
203,3.424350896618e+01
204,9.994894042946e+01
205,3.026915474769e+01
206,2.639584878254e+00
207,5.129215775553e+01
208,8.360538497398e+00
209,2.740675986957e+01
210,9.923831760939e+01
211,7.046385189302e+01
212,5.066662928287e+00
213,4.486867185918e+01
214,1.716375126288e+01
215,1.229446564021e+01
216,5.870654133488e+01
217,5.056558896402e+01
218,7.428665843155e+01
219,8.923062282319e+01
220,2.466818574317e+01
221,9.229919866554e+01
222,5.179917725541e+01
223,2.588349181851e+01
224,8.457858381026e+01
225,3.552991802902e+00
226,5.595093774730e+01
227,7.216215350300e+01
228,2.799776871561e+01
229,8.634919175632e+01
230,2.402845633580e+01
231,8.398742827317e+01
232,7.854496383246e+00
233,1.599275918684e+01
234,3.809845839019e+01
235,8.540555127982e+01
236,1.445853651268e+01
237,8.754382397942e+01
238,2.297315266128e+01
239,4.525083985945e+01
240,3.527344042603e+01
241,1.181262266145e+01
242,9.443097395191e+01
243,4.381782907522e+01
244,6.903312613562e+01
245,5.752676766640e+01
246,5.017159168522e+01
247,6.165776235568e+01
248,8.983423062024e+01
249,6.993123756941e+01
250,5.324800794552e+01
251,6.451859606660e+01
252,6.063942805090e+01
253,4.331212074863e+01
254,6.247640101305e+01
255,4.435698001642e+01
256,7.576143778719e+01
257,9.689124835223e+01
258,9.598653574972e+01
259,8.207357864250e+01
260,6.017588970595e+01
261,7.493319880707e+01
262,1.780482952576e+01
263,4.790184573139e+01
264,2.573047649914e+01
265,3.494981109347e-01
266,9.667375746721e+01
267,8.638485618518e+01
268,5.136986184699e+01
269,2.541522881190e+01
270,6.929752101992e+01
271,4.348010845499e+01
272,8.033495334227e+01
273,9.995181101809e+01
274,3.490826074899e+01
275,2.444030434780e+01
276,2.673824887948e+01
277,9.334624568067e+00
278,3.940461965002e+01
279,1.742505271691e+00
280,1.143955574013e+01
281,2.716957472727e+01
282,1.598627759095e+01
283,7.321590995007e+01
284,1.056047908679e+01
285,8.659941050245e+01
286,2.211145037110e+01
287,1.085906169716e+01
288,1.010664443126e+00
289,7.152050043221e+01
290,2.566167459385e+01
291,5.094986051378e+01
292,1.116160466722e+01
293,9.852959232362e+01
294,1.253847390700e+01
295,4.119259266419e+01
296,8.516495023345e+01
297,2.448869484804e+01
298,2.669717853462e+01
299,8.084995158907e+01
300,2.733396571920e+01
301,2.871311094813e-01
302,4.279137204899e+01
303,1.253520967847e+00
304,9.097922838294e+01
305,6.418132241792e+01
306,5.830142662212e+01
307,2.015895108624e+01
308,6.999461854286e+01
309,6.772546436783e+01
310,6.046357392536e+00
311,8.808465308106e+01
312,5.794133629298e+01
313,7.924668810386e+01
314,2.629140721288e+01
315,1.220477997535e+01
316,7.024495731868e+01
317,7.938826862552e+01
318,3.860335336193e+01
319,2.369227531631e+00
320,8.182540246539e+01
321,2.060939063304e+01
322,3.390319418975e+01
323,6.282310077771e+01
324,9.995471921130e+00
325,7.199576613846e+00
326,2.570377157527e+00
327,9.166398602395e+01
328,3.113827442687e+01
329,6.606588151171e+01
330,9.892352490177e+01
331,6.694507935619e+01
332,5.250947958562e+01
333,5.209199335172e+01
334,3.769171484556e+01
335,5.997796559551e+01
336,9.587913895457e+01
337,7.880440336983e+01
338,4.242266170332e+01
339,3.324448290325e+01
340,8.835315296231e+01
341,1.357858256266e+01
342,8.495852569643e+01
343,2.550767613423e+01
344,7.156292357759e+01
345,8.062205807748e+01
346,4.769965172635e+01
347,1.922839761423e+01
348,8.447677434624e+01
349,3.675083450533e+01
350,3.206802604825e+01
351,5.100161823534e+01
352,4.350862411039e+01
353,6.830522170387e+01
354,1.371978083727e+01
355,4.356896540479e+01
356,8.917018112252e+01
357,3.606270943973e+00
358,4.573383331533e+01
359,6.605319663852e+01
360,8.877110870420e+01
361,5.937862269332e+01
362,8.244842712393e+01
363,2.226910189593e+01
364,3.528094362279e+01
365,9.421322739280e+01
366,8.859751130927e+01
367,5.579529826887e+01
368,4.754883377948e+01
369,4.510673914545e+01
370,5.878966156702e+00
371,8.923771039566e+01
372,8.181495084153e+01
373,4.562511447279e+01
374,2.794399727195e+01
375,3.429206064265e+01
376,1.231605858729e+01
377,7.217897413057e+01
378,5.566698565549e+01
379,2.341034228249e+01
