256D Basis Element,Mapped Lattice Point,Lattice Sum,Consistent Sum
"(((((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))","[-1, -1, -1, -1, -1, -1, -1, -1]",-8,True
"((0, 0), ((((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))","[-1, -1, -1, -1, -1, -1, -1, 1]",-6,True
"(((0, 0), (((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0))","[-1, -1, -1, -1, -1, -1, 0, 0]",-6,True
"((0, 0), ((0, 0), (((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))))","[-1, -1, -1, -1, -1, -1, 1, -1]",-6,True
"((((0, 0), ((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0)), (0, 0))","[-1, -1, -1, -1, -1, -1, 1, 1]",-4,True
"((0, 0), (((0, 0), ((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0)))","[-1, -1, -1, -1, -1, 0, -1, 0]",-6,True
"(((0, 0), ((0, 0), ((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))), (0, 0))","[-1, -1, -1, -1, -1, 0, 0, -1]",-6,True
"((0, 0), ((0, 0), ((0, 0), ((((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))))","[-1, -1, -1, -1, -1, 0, 0, 1]",-4,True
"(((((0, 0), (((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0)), (0, 0)), (0, 0))","[-1, -1, -1, -1, -1, 0, 1, 0]",-4,True
"((0, 0), ((((0, 0), (((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0)), (0, 0)))","[-1, -1, -1, -1, -1, 1, -1, -1]",-6,True
"(((0, 0), (((0, 0), (((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0))), (0, 0))","[-1, -1, -1, -1, -1, 1, -1, 1]",-4,True
"((0, 0), ((0, 0), (((0, 0), (((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0))))","[-1, -1, -1, -1, -1, 1, 0, 0]",-4,True
