Kernel Version,Main Products,Embedded Versions
Windows 1.x,Windows 1.x,N/A
Windows 2.0/2.01,"Windows 2.0, 2.01",N/A
Windows 2.11,Windows 2.11,N/A
Windows 3.0,Windows 3.0,N/A
Windows 3.1,"Windows 3.1, 3.1 for Workgroups, 3.11, 3.11 for Workgroups, 3.2",N/A
NT 3.1,Windows NT 3.1,N/A
NT 3.51,Windows NT 3.51,N/A
NT 4.0,"Windows NT 4.0, Windows NT Workstation, Server",Windows NT 4.0 Embedded
Windows 9x,"Windows 95, 98, ME",N/A
NT 5.0,Windows 2000 (Pro and Server),N/A
NT 5.1,"Windows XP (Home, Pro)",XP Embedded
NT 5.2,"Windows XP x64, Server 2003",XP Embedded
NT 6.0,"Windows Vista, Server 2008",Windows Embedded Standard 2009 (Vista-based)
NT 6.1,"Windows 7, Server 2008 R2",Windows Embedded Standard 7
NT 6.2,"Windows 8, Server 2012",Windows Embedded 8 Standard
NT 6.3,"Windows 8.1, Server 2012 R2",Windows Embedded 8.1 Industry
NT 10.0 (Win 10),"Windows 10, Server 2016, Server 2019, IoT Core",Windows 10 IoT Core
NT 10.0 (Win 11),"Windows 11, Server 2022, Xbox, IoT",Windows 11 IoT Enterprise
