Dimension (d),K(d),Growth Ratio K(d)/K(d/2),Log2 Growth Ratio
2.0,1.1999999999999999556,1.1999999999999999556,0.2630344058337937802
4.0,1.5,1.2500000000000000463,0.32192809488736240131
8.0,2.3999999999999999112,1.5999999999999999408,0.67807190511263759874
16.0,5.7000000000000001776,2.375000000000000162,1.2479275134435855922
32.0,14.5,2.5438596491228069383,1.3470190758501927484
64.0,47.200000000000002842,3.2551724137931036442,1.7027339593469068771
128.0,200.5,4.247881355932203134,2.0867434719804413
256.0,1280.0,6.3840399002493765585,2.67446966843244205
512.0,8452.299999999999272,6.6033593749999994317,2.7232001639608856326
1024.0,46203.80000000000291,5.4664174248429429725,2.450595630691183834
