a,b,c,(ab)c,a(bc),Non-Associative Residue
e3,e6,e7,e2,-e5,e2 - -e5
e3,e7,e1,e2,-1,e2 - -1
e3,e7,e2,e2,-1,e2 - -1
e3,e7,e3,e2,-1,e2 - -1
e3,e7,e4,e2,-1,e2 - -1
e3,e7,e5,e2,-1,e2 - -1
e4,e1,e2,e2,-1,e2 - -1
e4,e1,e3,e2,-1,e2 - -1
e4,e1,e4,e2,-1,e2 - -1
e4,e1,e5,e2,-1,e2 - -1
e4,e1,e6,e2,-1,e2 - -1
e4,e2,e3,e2,e7,e2 - e7
e4,e2,e4,e2,e7,e2 - e7
e4,e2,e5,e2,e7,e2 - e7
e4,e2,e6,e2,e7,e2 - e7
e4,e2,e7,e2,e7,e2 - e7
e4,e7,e1,-1,-e6,-1 - -e6
e4,e7,e2,-1,-e6,-1 - -e6
e4,e7,e3,-1,-e6,-1 - -e6
e4,e7,e4,-1,-e6,-1 - -e6
e4,e7,e5,-1,-e6,-1 - -e6
e5,e1,e2,-1,-e7,-1 - -e7
e5,e1,e3,-1,-e7,-1 - -e7
e5,e1,e4,-1,-e7,-1 - -e7
e5,e1,e5,-1,-e7,-1 - -e7
e5,e1,e6,-1,-e7,-1 - -e7
e5,e3,e4,-1,e1,-1 - e1
e5,e3,e5,-1,e1,-1 - e1
e5,e3,e6,-1,e1,-1 - e1
e5,e3,e7,-1,e1,-1 - e1
e6,e2,e3,-e3,-e1,-e3 - -e1
e6,e2,e4,-e3,-e1,-e3 - -e1
e6,e2,e5,-e3,-e1,-e3 - -e1
e6,e2,e6,-e3,-e1,-e3 - -e1
e6,e2,e7,-e3,-e1,-e3 - -e1
e6,e3,e1,-e3,-e1,-e3 - -e1
e6,e3,e4,-e3,-1,-e3 - -1
e6,e3,e5,-e3,-1,-e3 - -1
e6,e3,e6,-e3,-1,-e3 - -1
e6,e3,e7,-e3,-1,-e3 - -1
e6,e4,e1,-e3,-1,-e3 - -1
e6,e4,e2,-e3,-1,-e3 - -1
e6,e4,e5,-e3,e2,-e3 - e2
e6,e4,e6,-e3,e2,-e3 - e2
e6,e4,e7,-e3,e2,-e3 - e2
