Transformation,tau,J_S(tau)
"(1,0;0,1)",(0.1+1j),(174537.90465609595+36743.781545049154j)
"(1,0;0,1)",(0.44999999999999996+1j),(187794.84228719075-40494.58992138689j)
"(1,0;0,1)",(0.7999999999999999+1j),(231424.58752252843+10032.17905044335j)
"(1,0;0,1)",(1.15+1j),(162876.9729689097+27717.27850398828j)
"(1,0;0,1)",(1.5+1j),(200918.22529992447-40138.36588907591j)
"(0,-1;1,0)",(-0.09900990099009901+0.9900990099009901j),(223244.17841069013+29876.94789433655j)
"(0,-1;1,0)",(-0.3742203742203742+0.8316008316008316j),(282618.5535701225-49791.926230444304j)
"(0,-1;1,0)",(-0.4878048780487804+0.6097560975609756j),(452417.3551477365-458421.1072417406j)
"(0,-1;1,0)",(-0.49515608180839615+0.4305705059203445j),(-4738594.684486128-2058919.0552840377j)
"(0,-1;1,0)",(-0.46153846153846156+0.3076923076923077j),(-55884422.723749906-61541530.1454059j)
"(1,1;0,1)",(1.1+1j),(174537.90465609593+36743.78154504914j)
"(1,1;0,1)",(1.45+1j),(187794.84228719075-40494.58992138689j)
"(1,1;0,1)",(1.7999999999999998+1j),(231424.58752252843+10032.17905044329j)
"(1,1;0,1)",(2.15+1j),(162876.9729689097+27717.278503988262j)
"(1,1;0,1)",(2.5+1j),(200918.22529992447-40138.36588907592j)
