Number,p,Expansion
16,3,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
32,3,"[2, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
64,3,"[1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
128,3,"[2, 0, 2, 1, 1, 0, 0, 0, 0, 0]"
256,3,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
16,5,"[1, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
32,5,"[2, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
64,5,"[4, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
128,5,"[3, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
256,5,"[1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
16,7,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
32,7,"[4, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
64,7,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
128,7,"[2, 4, 2, 0, 0, 0, 0, 0, 0, 0]"
256,7,"[4, 1, 5, 0, 0, 0, 0, 0, 0, 0]"
