Iteration,Quantum_Coherence_Value
0,1.0
1,1.4009341657107037
2,1.865997849348845
3,2.307420382452882
4,2.6321007499946
5,2.8238485359248937
6,2.9241447878356897
7,2.9741119884818215
8,2.9985700237242585
9,3.010462123610605
10,3.0162285045960564
11,3.019021195041642
12,3.020372957533043
13,3.021027087226244
14,3.021343586564423
15,3.0214967148877814
16,3.0215707990885794
17,3.021606640867992
18,3.0216239809269982
19,3.0216323699261536
20,3.0216364284587582
21,3.021638391943784
22,3.021639341861497
23,3.0216398014236976
24,3.021640023756006
25,3.021640131318493
