mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,step
1.815218,1.7515478,1.6456289,1.6243207,1.5869569,1.5551957,1.4974388,1.4861393,1.4595876,1.4366722,1.3980696,1.3391465,1.2923738,1.249579,1.243533,1.1554703,0
1.8148476,1.7510052,1.645356,1.6240668,1.587423,1.5545977,1.4973903,1.4856871,1.4610326,1.4363649,1.3978343,1.3386135,1.2915956,1.249558,1.2430502,1.1552163,1
1.814432,1.7504343,1.6450635,1.6238431,1.5878769,1.5539612,1.4973221,1.485198,1.4625164,1.4360119,1.397557,1.3380497,1.2908098,1.2495168,1.2425343,1.1549257,2
1.8139731,1.7498362,1.6447546,1.6236607,1.5883166,1.5532875,1.4972383,1.4846728,1.4640266,1.4356153,1.3972391,1.337456,1.2900155,1.2494513,1.2419899,1.1545987,3
1.8134701,1.7492104,1.6444321,1.6235303,1.5887365,1.5525752,1.4971441,1.484111,1.4655471,1.4351754,1.3968796,1.3368324,1.289211,1.2493564,1.2414197,1.1542349,4
1.8129238,1.7485571,1.6440994,1.6234643,1.5891308,1.5518247,1.4970449,1.4835124,1.4670613,1.4346937,1.39648,1.3361783,1.2883954,1.2492297,1.2408261,1.1538353,5
1.8123341,1.7478768,1.6437618,1.6234758,1.5894909,1.5510358,1.4969469,1.4828777,1.4685512,1.4341705,1.3960395,1.3354949,1.2875673,1.2490678,1.2402104,1.1533995,6
1.8117009,1.7471691,1.6434258,1.6235788,1.5898081,1.5502083,1.4968588,1.4822067,1.469997,1.4336078,1.3955591,1.3347814,1.2867254,1.24887,1.2395737,1.152929,7
1.8110263,1.7464358,1.6431013,1.623785,1.5900719,1.5493431,1.4967895,1.4814996,1.4713768,1.433005,1.3950392,1.334039,1.2858692,1.2486348,1.2389162,1.1524231,8
1.8103087,1.7456759,1.6428002,1.624104,1.5902704,1.548439,1.4967475,1.4807576,1.4726672,1.4323639,1.3944806,1.3332666,1.2849969,1.2483603,1.2382379,1.1518826,9
1.8095496,1.7448906,1.6425405,1.6245401,1.5903928,1.5474964,1.4967443,1.4799833,1.4738427,1.4316841,1.3938825,1.3324646,1.2841074,1.2480459,1.2375388,1.151308,10
