step,enstrophy,betti_1,active_triads
0,5.421831e-5,0,0
50,6.925784e-8,0,0
100,6.720745e-9,0,0
150,7.366232e-10,0,0
200,8.238924e-11,0,0
250,9.260624e-12,0,0
300,1.043687e-12,0,0
350,1.178903e-13,0,0
400,1.334446e-14,0,0
450,1.513523e-15,0,0
500,1.719860e-16,0,0
550,1.957798e-17,0,0
600,2.232354e-18,0,0
650,2.549393e-19,0,0
700,2.915672e-20,0,0
750,3.339113e-21,0,0
800,3.828837e-22,0,0
850,4.395521e-23,0,0
900,5.051514e-24,0,0
950,5.811206e-25,0,0
1000,6.691150e-26,0,0
1050,7.711455e-27,0,0
1100,8.882418e-28,0,0
1150,1.022424e-28,0,0
1200,1.176426e-29,0,0
1250,1.326085e-30,0,0
1300,1.522664e-31,0,0
1350,3.908663e-32,0,0
1400,1.653131e-32,0,0
1450,3.467320e-33,0,0
1500,3.680051e-33,0,0
1550,3.616323e-33,0,0
1600,3.505307e-33,0,0
1650,2.989793e-33,0,0
1700,2.503378e-33,0,0
1750,2.934490e-33,0,0
1800,3.321004e-33,0,0
1850,3.464729e-33,0,0
1900,3.599344e-33,0,0
1950,2.972835e-33,0,0
2000,2.592651e-33,0,0
2050,2.780061e-33,0,0
2100,2.984699e-33,0,0
2150,3.489236e-33,0,0
2200,2.839957e-33,0,0
2250,2.846789e-33,0,0
2300,3.093052e-33,0,0
2350,3.248053e-33,0,0
2400,3.969154e-33,0,0
2450,3.709980e-33,0,0
2500,2.823077e-33,0,0
2550,3.352489e-33,0,0
2600,3.098697e-33,0,0
2650,3.585235e-33,0,0
2700,3.151121e-33,0,0
2750,3.032357e-33,0,0
2800,3.228675e-33,0,0
2850,3.378056e-33,0,0
2900,3.352644e-33,0,0
2950,3.588974e-33,0,0
3000,3.692230e-33,0,0
3050,3.258790e-33,0,0
3100,3.786819e-33,0,0
3150,2.958360e-33,0,0
3200,3.375844e-33,0,0
3250,3.307975e-33,0,0
3300,3.030303e-33,0,0
3350,3.123553e-33,0,0
3400,3.523950e-33,0,0
3450,3.662487e-33,0,0
3500,3.872593e-33,0,0
3550,3.506160e-33,0,0
3600,3.265063e-33,0,0
3650,3.737440e-33,0,0
3700,3.434858e-33,0,0
3750,3.735417e-33,0,0
3800,3.464722e-33,0,0
3850,3.311244e-33,0,0
3900,3.413901e-33,0,0
3950,3.259844e-33,0,0
4000,3.415633e-33,0,0
4050,3.719226e-33,0,0
4100,3.280493e-33,0,0
4150,3.783310e-33,0,0
4200,2.799941e-33,0,0
4250,3.377097e-33,0,0
4300,3.560324e-33,0,0
4350,3.247153e-33,0,0
4400,2.848551e-33,0,0
4450,3.259235e-33,0,0
4500,3.232354e-33,0,0
4550,3.160310e-33,0,0
4600,2.853766e-33,0,0
4650,2.791425e-33,0,0
4700,3.231979e-33,0,0
4750,3.942993e-33,0,0
4800,3.122345e-33,0,0
4850,3.375880e-33,0,0
4900,3.710935e-33,0,0
4950,3.842846e-33,0,0
5000,3.122028e-33,0,0
5050,3.169241e-33,0,0
5100,3.207107e-33,0,0
5150,3.677809e-33,0,0
5200,3.101392e-33,0,0
5250,3.759665e-33,0,0
5300,3.214368e-33,0,0
5350,3.289935e-33,0,0
5400,3.548003e-33,0,0
5450,3.008086e-33,0,0
5500,3.125296e-33,0,0
5550,3.394726e-33,0,0
5600,3.849376e-33,0,0
5650,3.222554e-33,0,0
5700,3.839556e-33,0,0
5750,4.340992e-33,0,0
5800,3.214180e-33,0,0
5850,3.753507e-33,0,0
5900,2.649576e-33,0,0
5950,2.745168e-33,0,0
6000,2.804344e-33,0,0
6050,3.018187e-33,0,0
6100,3.266505e-33,0,0
6150,2.783984e-33,0,0
6200,2.775994e-33,0,0
6250,2.891238e-33,0,0
6300,2.772580e-33,0,0
6350,2.642854e-33,0,0
6400,2.904417e-33,0,0
6450,2.830895e-33,0,0
6500,2.453925e-33,0,0
6550,2.402757e-33,0,0
6600,2.830660e-33,0,0
6650,2.678940e-33,0,0
6700,2.666912e-33,0,0
6750,2.769766e-33,0,0
6800,2.426011e-33,0,0
6850,2.706778e-33,0,0
6900,2.608686e-33,0,0
6950,2.517976e-33,0,0
7000,2.588953e-33,0,0
7050,2.858754e-33,0,0
7100,2.791589e-33,0,0
7150,2.670694e-33,0,0
7200,2.662201e-33,0,0
7250,2.588684e-33,0,0
7300,2.578965e-33,0,0
7350,2.738197e-33,0,0
7400,2.713132e-33,0,0
7450,2.832502e-33,0,0
7500,2.897741e-33,0,0
7550,2.740915e-33,0,0
7600,2.635153e-33,0,0
7650,2.429464e-33,0,0
7700,2.408625e-33,0,0
7750,2.816309e-33,0,0
7800,3.019311e-33,0,0
7850,2.651944e-33,0,0
7900,2.837286e-33,0,0
7950,2.827508e-33,0,0
8000,2.750105e-33,0,0
8050,2.633918e-33,0,0
8100,2.638368e-33,0,0
8150,2.639191e-33,0,0
8200,2.671621e-33,0,0
8250,2.632081e-33,0,0
8300,3.163052e-33,0,0
8350,2.822360e-33,0,0
8400,2.772953e-33,0,0
8450,2.731034e-33,0,0
8500,2.663879e-33,0,0
8550,2.328806e-33,0,0
8600,2.838011e-33,0,0
8650,2.767147e-33,0,0
8700,2.586915e-33,0,0
8750,2.844693e-33,0,0
8800,2.816639e-33,0,0
8850,2.729445e-33,0,0
8900,2.847579e-33,0,0
8950,2.722718e-33,0,0
9000,2.948553e-33,0,0
9050,2.871314e-33,0,0
9100,2.924024e-33,0,0
9150,2.943494e-33,0,0
9200,2.881791e-33,0,0
9250,2.659145e-33,0,0
9300,2.407293e-33,0,0
9350,2.770128e-33,0,0
9400,2.856786e-33,0,0
9450,3.105759e-33,0,0
9500,3.121914e-33,0,0
9550,2.739817e-33,0,0
9600,2.553831e-33,0,0
9650,2.552610e-33,0,0
9700,2.866586e-33,0,0
9750,2.462907e-33,0,0
9800,2.506622e-33,0,0
9850,2.609500e-33,0,0
9900,2.587746e-33,0,0
9950,2.570807e-33,0,0
10000,2.782553e-33,0,0
10050,2.647023e-33,0,0
10100,2.525253e-33,0,0
10150,2.507429e-33,0,0
10200,2.610600e-33,0,0
10250,2.936274e-33,0,0
10300,3.034792e-33,0,0
10350,2.728483e-33,0,0
10400,2.916089e-33,0,0
10450,2.495311e-33,0,0
10500,2.672689e-33,0,0
10550,2.791440e-33,0,0
10600,2.769782e-33,0,0
10650,2.665060e-33,0,0
10700,2.924962e-33,0,0
10750,2.663058e-33,0,0
10800,3.160859e-33,0,0
10850,2.679433e-33,0,0
10900,2.359774e-33,0,0
10950,2.600278e-33,0,0
11000,2.587645e-33,0,0
11050,2.716878e-33,0,0
11100,2.691848e-33,0,0
11150,2.806043e-33,0,0
11200,2.871162e-33,0,0
11250,2.646890e-33,0,0
11300,2.801769e-33,0,0
11350,2.435461e-33,0,0
11400,2.698381e-33,0,0
11450,2.809504e-33,0,0
11500,2.550033e-33,0,0
