epoch,loss
0,1.8150000000
1,1.7634752369
2,1.7132707952
3,1.6643456697
4,1.6166643577
5,1.5701966422
6,1.5249173085
7,1.4808058004
8,1.4378458197
9,1.3960248750
10,1.3553337886
11,1.3157661669
12,1.2773178436
13,1.2399863057
14,1.2037701087
15,1.1686682937
16,1.1346798124
17,1.1018029716
18,1.0700349052
19,1.0393710818
20,1.0098048564
21,0.9813270727
22,0.9539257230
23,0.9275856702
24,0.9022884367
25,0.8780120637
26,0.8547310411
27,0.8324163120
28,0.8110353477
29,0.7905522946
30,0.7709281883
31,0.7521212318
32,0.7340871325
33,0.7167794922
34,0.7001502427
35,0.6841501204
36,0.6687291703
37,0.6538372715
38,0.6394246746
39,0.6254425427
40,0.6118434843
41,0.5985820719
42,0.5856153348
43,0.5729032187
44,0.5604090042
45,0.5480996762
46,0.5359462388
47,0.5239239689
48,0.5120126051
49,0.5001964680
50,0.4884645102
51,0.4768102935
52,0.4652318959
53,0.4537317475
54,0.4423163994
55,0.4309962283
56,0.4197850828
57,0.4086998761
58,0.3977601323
59,0.3869874939
60,0.3764051987
61,0.3660375343
62,0.3559092796
63,0.3460451434
64,0.3364692076
65,0.3272043861
66,0.3182719072
67,0.3096908290
68,0.3014775951
69,0.2936456385
70,0.2862050400
71,0.2791622471
72,0.2725198577
73,0.2662764720
74,0.2604266157
75,0.2549607353
76,0.2498652650
77,0.2451227649
78,0.2407121277
79,0.2366088496
80,0.2327853625
81,0.2292114197
82,0.2258545302
83,0.2226804333
84,0.2196536058
85,0.2167377931
86,0.2138965545
87,0.2110938153
88,0.2082944134
89,0.2054646345
90,0.2025727239
91,0.1995893676
92,0.1964881347
93,0.1932458728
94,0.1898430503
95,0.1862640396
96,0.1824973356
97,0.1785357076
98,0.1743762798
99,0.1700205408
100,0.1654742805
101,0.1607474568
102,0.1558539925
103,0.1508115081
104,0.1456409926
105,0.1403664197
106,0.1350143145
107,0.1296132788
108,0.1241934830
109,0.1187861320
110,0.1134229156
111,0.1081354521
112,0.1029547333
113,0.0979105828
114,0.0930311332
115,0.0883423350
116,0.0838675016
117,0.0796269011
118,0.0756373997
119,0.0719121641
120,0.0684604264
121,0.0652873177
122,0.0623937701
123,0.0597764918
124,0.0574280136
125,0.0553368069
126,0.0534874710
127,0.0518609863
128,0.0504350295
129,0.0491843453
130,0.0480811680
131,0.0470956861
132,0.0461965426
133,0.0453513610
134,0.0445272902
135,0.0436915569
136,0.0428120183
137,0.0418577033
138,0.0407993361
139,0.0396098299
140,0.0382647455
141,0.0367427051
142,0.0350257545
143,0.0330996685
144,0.0309541933
145,0.0285832228
146,0.0259849044
147,0.0231616739
148,0.0201202183
149,0.0168713670
150,0.0134299133
151,0.0098143694
152,0.0060466588
153,0.0021517511
154,-0.0018427539
155,-0.0059070865
156,-0.0100098043
157,-0.0141183171
158,-0.0181994306
159,-0.0222199012
160,-0.0261469907
161,-0.0299490124
162,-0.0335958602
163,-0.0370595100
164,-0.0403144862
165,-0.0433382856
166,-0.0461117504
167,-0.0486193854
168,-0.0508496127
169,-0.0527949611
170,-0.0544521854
171,-0.0558223151
172,-0.0569106305
173,-0.0577265673
174,-0.0582835514
175,-0.0585987660
176,-0.0586928555
177,-0.0585895713
178,-0.0583153651
179,-0.0578989368
180,-0.0573707441
181,-0.0567624839
182,-0.0561065510
183,-0.0554354871
184,-0.0547814259
185,-0.0541755464
186,-0.0536475417
187,-0.0532251135
188,-0.0529335004
189,-0.0527950474
190,-0.0528288253
191,-0.0530503049
192,-0.0534710924
193,-0.0540987300
194,-0.0549365660
195,-0.0559836951
196,-0.0572349711
197,-0.0586810912
198,-0.0603087512
199,-0.0621008679
200,-0.0640368657
201,-0.0660930225
202,-0.0682428690
203,-0.0704576345
204,-0.0727067316
205,-0.0749582725
206,-0.0771796066
207,-0.0793378723
208,-0.0814005514
209,-0.0833360192
210,-0.0851140791
211,-0.0867064735
212,-0.0880873623
213,-0.0892337610
214,-0.0901259308
215,-0.0907477139
216,-0.0910868095
217,-0.0911349841
218,-0.0908882140
219,-0.0903467566
220,-0.0895151504
221,-0.0884021424
222,-0.0870205451
223,-0.0853870250
224,-0.0835218267
225,-0.0814484365
226,-0.0791931916
227,-0.0767848418
228,-0.0742540707
229,-0.0716329841
230,-0.0689545753
231,-0.0662521751
232,-0.0635588971
233,-0.0609070863
234,-0.0583277811
235,-0.0558501977
236,-0.0535012459
237,-0.0513050831
238,-0.0492827162
239,-0.0474516556
