name,gl,gb,p0,p1,dm
PSR J1036-8317,298.94,-21.50,0.003408,null,27.09270
PSR J0211-8159,299.59,-34.61,3.23199877567,7.14E-16,24.36000
PSR J1900-7951,314.32,-27.06,1.2791931935,1.86E-15,39.00000
PSR J1119-7936,298.70,-17.50,2.280602264562,3.6825E-15,26.37900
PSR J1057-7914,297.57,-17.57,1.347404003436,1.3297E-15,51.55000
PSR J1159-7910,300.41,-16.55,0.52507664814458,2.81335E-15,59.34500
PSR J1841-7845,315.46,-26.08,0.3536025329,1.6E-16,41.00000
PSR J1403-7646,307.10,-14.49,1.306198850694,1.19671E-15,101.09000
PSR J1651-7642,315.15,-19.95,1.755311859075,1.36E-15,59.85000
PSR J1744-7619,317.11,-22.46,0.0046875240948954,9.679E-21,null
PSR J0401-7608,290.31,-35.91,0.545254426955,1.5438E-15,21.74700
PSR J0536-7543,287.16,-30.82,1.245856241689,5.754E-16,18.58000
PSR J1708-7539,316.68,-20.22,1.1910239966,1.88E-15,37.00000
PSR J0904-7459,289.74,-18.32,0.5495537591153,4.6213E-16,49.20200
PSR J1251-7407,302.96,-11.25,0.32705773823,3.651E-16,89.81000
PSR J1410-7404,308.35,-12.04,0.27872945261415,6.798E-18,54.23120
PSR J1846-7403,320.67,-25.65,4.8788385261,6.06E-15,97.00000
PSR J0040-7337,303.97,-43.49,0.05988856188,3.4041E-14,101.79000
PSR J0040-7335,303.96,-43.51,0.1452182310501,2.38526E-14,198.27000
PSR J0040-7326,304.02,-43.66,0.398656580794,5.6055E-15,85.70000
PSR J0043-7319,303.75,-43.78,0.937434382311,9.3288E-15,120.80000
PSR J0045-7319,303.51,-43.80,0.92627590497,4.4632E-15,104.60000
PSR J0048-7317,303.18,-43.83,0.07931418413,3.30217E-14,292.42000
PSR J0044-7314,303.58,-43.89,0.396913450090,1.7619E-15,78.60000
PSR J0131-7310,298.94,-43.65,0.348124045581,1.7614E-15,205.22000
PSR J0054-7228,302.57,-44.65,0.290944795937,9.5594E-15,92.40000
PSR J0113-7220,300.62,-44.69,0.325883016130,4.859E-15,125.49000
PSR J0058-7218,302.20,-44.82,0.02176610763,2.9E-14,null
PSR J0909-7212,287.73,-16.26,1.362890422599,3.2671E-16,54.23300
PSR J0100-7211,301.93,-44.92,8.020392,1.88E-11,null
PSR J0105-7208,301.39,-44.94,0.30673712821,2.3618E-14,120.40000
PSR J0024-7204M,305.91,-44.88,0.0036766432176002,-3.8419E-20,24.42600
PSR J0024-7204E,305.88,-44.88,0.00353632915276244,9.85103E-20,24.23960
PSR J0024-7204Z,305.89,-44.89,0.004554447383906,-4.54E-21,24.45000
PSR J0024-7204L,305.90,-44.89,0.0043461679994616,-1.22045E-19,24.39860
PSR J0024-7204O,305.90,-44.89,0.00264334329724357,3.03493E-20,24.35800
PSR J0024-7204aa,305.89,-44.89,0.00184,null,24.92100
PSR J0024-7204V,305.89,-44.89,0.00481016762,null,24.10500
PSR J0024-7204ad,305.89,-44.89,0.00374,null,24.41000
PSR J0024-7204ac,305.89,-44.89,0.00274,null,24.46000
PSR J0024-7204R,305.89,-44.89,0.00348046270749329,1.48352E-19,24.36100
PSR J0024-7204W,305.89,-44.89,0.0023523445319370,-8.65526E-20,24.37000
PSR J0024-7204ab,305.89,-44.89,0.0037046394947985,9.82E-21,24.32560
PSR J0024-7204D,305.88,-44.89,0.00535757328486573,-3.422E-21,24.74120
PSR J0024-7204F,305.90,-44.89,0.00262357935251262,6.45029E-20,24.38410
PSR J0024-7204S,305.90,-44.89,0.00283040595787912,-1.20541E-19,24.38179
PSR J0024-7204Y,305.90,-44.89,0.00219665714352123,-3.51721E-20,24.47500
PSR J0024-7204G,305.89,-44.89,0.00404037914356515,-4.21584E-20,24.43430
PSR J0024-7204I,305.89,-44.89,0.00348499206166289,-4.5874E-20,24.43030
PSR J0024-7204T,305.89,-44.89,0.0075884798073671,2.93805E-19,24.42100
PSR J0024-7204C,305.92,-44.89,0.00575677999551635,-4.98503E-20,24.59090
PSR J0024-7204N,305.89,-44.90,0.00305395434626085,-2.1857E-20,24.55680
PSR J0024-7204Q,305.88,-44.90,0.00403318118457258,3.4008E-20,24.27940
PSR J0051-7204,302.92,-45.05,0.191447064030,1.38281E-14,159.30000
PSR J0024-7204P,305.87,-44.90,0.0036430207,6.6E-19,24.29000
PSR J0024-7204H,305.90,-44.90,0.00321034070935032,-1.8294E-21,24.37500
PSR J0024-7204U,305.89,-44.90,0.00434282669639233,9.52279E-20,24.34000
PSR J0024-7204J,305.91,-44.90,0.00210063354535246,-9.7917E-21,24.59370
PSR J1604-7203,316.67,-14.55,0.341402932218,8.4E-17,54.37000
PSR J1603-7202,316.63,-14.50,0.01484195225261733,1.56292E-20,38.04970
PSR J0057-7201,302.24,-45.10,0.7380624426,1E-16,27.00000
PSR J0024-7204X,305.88,-44.95,0.00477152291069356,1.8361E-20,24.53800
PSR J2053-7200,321.87,-35.00,0.3413364364716,1.97609E-16,17.64000
PSR J1017-7156,291.56,-12.55,0.002338514440402662,2.21387E-21,94.21473
PSR J0457-69,281.14,-35.11,0.23139039,null,91.00000
PSR J0111-7131,300.67,-45.51,0.68854151164,7.092E-15,79.40000
PSR J0523-7125,282.41,-32.55,0.3225,null,157.50000
PSR J0540-7125,282.15,-31.24,1.286014595,8.2E-16,29.41000
PSR J0951-71,289.47,-13.32,0.212378,null,77.00000
PSR J1056-7117,293.93,-10.46,0.0263096769824,6.3E-20,92.90400
PSR J0555-7056,281.46,-30.12,0.82783808575,5.96E-15,72.90000
PSR J1903-7051,324.39,-26.51,0.0035978980188911,1.043E-20,19.66120
PSR J0045-7042,303.65,-46.42,0.63233580002,2.49E-15,71.30000
PSR J0449-7031,282.29,-35.51,0.479163971291,3.371E-15,65.83000
PSR J0456-7031,282.05,-34.97,0.80013207321,3.67E-14,100.30000
PSR J0133-6957,297.69,-46.74,0.463473741703,1.2E-16,22.94800
PSR J1423-6953,310.74,-8.43,0.333410710172,1.4513E-15,123.98000
PSR J1409-6953,309.57,-8.03,0.5285907792,8.4E-16,167.60000
PSR J0455-6951,281.29,-35.19,0.320422711526,1.02119E-14,94.70000
PSR J0518-6946,280.58,-33.28,1.690414,null,82.00000
PSR J0532-69,280.33,-32.16,1.1491957,null,124.00000
PSR J1126-6942,295.63,-8.05,0.579418751784,3.2938E-15,55.33000
PSR J0518-6939,280.46,-33.36,0.33020997,null,254.20000
PSR J1623-6936,319.61,-13.96,0.0024098729945847,9.059E-21,46.41400
PSR J0535-6935,280.08,-31.94,0.20051133,1.15E-14,93.70000
PSR J0519-6932,280.29,-33.25,0.263211634568,6.968E-16,118.86000
PSR J0519-6931,280.28,-33.31,0.37773586,null,82.70000
PSR J1112-6926,294.42,-8.22,0.820488094061,2.82152E-15,148.66900
PSR J0537-69,279.77,-31.73,0.11261321,null,273.00000
PSR J0540-6919,279.72,-31.52,0.0505697030222,4.78909E-13,147.20000
PSR J0540-69_P,279.70,-31.53,0.9090003,null,52.70000
PSR J0537-6910,279.56,-31.74,0.0161222220245,5.17843E-14,null
PSR J0456-69,280.46,-35.33,0.117073051,null,103.00000
PSR J0534-6905,279.51,-32.01,0.8427825,null,244.00000
PSR J1055-6905,292.88,-8.50,2.9193969868,2.0336E-14,142.80000
PSR J1629-6902,320.37,-13.93,0.0060006034432179,1E-20,29.49480
PSR J0949-6902,287.83,-11.70,0.640015724160,6.37E-16,93.00000
PSR J0543-6851,279.13,-31.24,0.70895418575,3.94E-15,134.90000
PSR J0522-6847,279.35,-33.17,0.67453190906,1.7727E-14,126.45000
PSR J0750-6846,281.06,-20.05,0.91521580361,1.096E-16,54.60000
PSR J0509-6845,279.59,-34.28,0.30719713,null,92.60000
PSR J1456-6843,313.87,-8.54,0.2633769266537,9.895E-17,8.63500
PSR J1204-6843,298.68,-6.24,0.30886101484815,2.17013E-16,134.15000
PSR J0509-6838,279.46,-34.30,0.2787536,null,149.00000
