id	url	http_code	content_type	bytes	sha256	is_pdf	note
brown1972_openalex_landing	https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=3090&context=doctoral_dissertations	403	text/html; charset=UTF-8	745	fae1d576776bc2bdf518b932801d3ba9431dc6d5c7cdcc98766555d72251378d	no	non-pdf: HTML document, ASCII text, with very long lines (502), with CRLF line terminators
brown1972_scholarsmine_pdf	https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=3088&context=doctoral_dissertations	403	text/html; charset=UTF-8	745	fae1d576776bc2bdf518b932801d3ba9431dc6d5c7cdcc98766555d72251378d	no	non-pdf: HTML document, ASCII text, with very long lines (502), with CRLF line terminators
core_display	https://core.ac.uk/display/82141950	200	text/html; charset=utf-8	66487	d3abb7468b98e473dd5cdc148843dffcd9deec2c9a00e9e3c42f794d4c7907b2	no	non-pdf: HTML document, ASCII text, with very long lines (65536), with no line terminators
core_download_alt_no_pdf_segment	https://core.ac.uk/download/82141950.pdf	301	unknown	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	no	non-pdf: empty
core_download_brown_229066012	https://core.ac.uk/download/229066012.pdf	200	application/pdf	1292525	4150f77c2194a21cbdfd210d178857f7704486c69ce4f75455e7f802efee88f6	yes	
core_download_pdf	https://core.ac.uk/download/pdf/82141950.pdf	404	text/html; charset=UTF-8	776	9f6ac15b9388cb961f10cea4941ddd591bc661ed0bc2884f6b1899f720979188	no	non-pdf: HTML document, ASCII text
core_reader	https://core.ac.uk/reader/82141950	000	unknown	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	no	non-pdf: empty
core_works	https://core.ac.uk/works/82141950	200	text/html; charset=utf-8	76231	d0e8b9f5b6f436c3e5edb5b47c5dbe823ee801810696a40bb366f7134cf19c88	no	non-pdf: HTML document, Unicode text, UTF-8 text, with very long lines (65494), with no line terminators
doi_eakin_sathaye	https://doi.org/10.1016/0021-8693(90)90221-9	200	text/html;charset=UTF-8	2669	acf8480ab064f8c00992a0ad80b346a5cc7231ef23abd6e34c17eafc05f64057	no	non-pdf: HTML document, ASCII text
eakin1990_core_download_82141950	https://core.ac.uk/download/82141950.pdf	404	text/html; charset=UTF-8	776	9f6ac15b9388cb961f10cea4941ddd591bc661ed0bc2884f6b1899f720979188	no	non-pdf: HTML document, ASCII text
eakin1990_core_s3_main_pdf	https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:0021869390902219/MAIN/application/pdf/ec93c3f65d28147ea86a967a356befd1/main.pdf	403	application/xml	263	4d5ddce36d1ee67de6a25834f97e37459c4d1404c075ffd8dbb3a1d35e50ed3f	no	non-pdf: XML 1.0 document, ASCII text
scispace_brown	https://scispace.com/papers/structure-of-zero-divisors-and-other-algebraic-structures-in-2dzr8sw00c	403	text/html	919	d4255fe8a81f08c792336e6d60c733623f90a4f041d9135aaaba0e97838f4188	no	non-pdf: HTML document, ASCII text
sd_article	https://www.sciencedirect.com/science/article/pii/0021869390902219	403	text/html; charset=UTF-8	832757	062a78469ec8199ccdac8a3bb009f7f22665ff16806372a230ec73f9c7cc8d0e	no	non-pdf: HTML document, ASCII text, with very long lines (64840)
sd_issue_129_2	https://www.sciencedirect.com/journal/journal-of-algebra/vol/129/issue/2	403	text/html; charset=UTF-8	832757	2f8f42fa0d27bce2c78bbd85f544905438645bb75093052b78132c8ede1832a2	no	non-pdf: HTML document, ASCII text, with very long lines (64840)
sd_pdf_alt	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf	403	text/html; charset=UTF-8	832757	9906773a44a5748d9b3cfd5bde192e9836a593d83d34085bd5b9ec01a46e90f2	no	non-pdf: HTML document, ASCII text, with very long lines (64840)
sd_pdfft	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	403	text/html; charset=UTF-8	832757	0a6c632ea478733775edab3e17949700bc2bda16f56c15c1fd81e2b8ad32e48e	no	non-pdf: HTML document, ASCII text, with very long lines (64840)
