id	url	http_code	content_type	size_download	url_effective	magic	is_pdf	status	sha256	body_path	headers_path	stderr_path
BROWN-CORE-READER	https://core.ac.uk/reader/82141950	200	text/html; charset=utf-8	7916	https://core.ac.uk/reader/82141950	<!DOC	0	ok_nonpdf	f9d1ee0b03a0a2c2a0541ae14c103c20ea38032c1a441367ca940c765d378155	/tmp/cd_retry_mirrors_round2/files/01_BROWN-CORE-READER.bin	/tmp/cd_retry_mirrors_round2/meta/01_BROWN-CORE-READER.headers.txt	/tmp/cd_retry_mirrors_round2/meta/01_BROWN-CORE-READER.curl.err
BROWN-CORE-DISPLAY	https://core.ac.uk/display/82141950	200	text/html; charset=utf-8	66487	https://core.ac.uk/outputs/82141950/	<!DOC	0	ok_nonpdf	d3abb7468b98e473dd5cdc148843dffcd9deec2c9a00e9e3c42f794d4c7907b2	/tmp/cd_retry_mirrors_round2/files/02_BROWN-CORE-DISPLAY.bin	/tmp/cd_retry_mirrors_round2/meta/02_BROWN-CORE-DISPLAY.headers.txt	/tmp/cd_retry_mirrors_round2/meta/02_BROWN-CORE-DISPLAY.curl.err
BROWN-CORE-WORKS	https://core.ac.uk/works/82141950	200	text/html; charset=utf-8	76231	https://core.ac.uk/works/82141950/	<!DOC	0	ok_nonpdf	d0e8b9f5b6f436c3e5edb5b47c5dbe823ee801810696a40bb366f7134cf19c88	/tmp/cd_retry_mirrors_round2/files/03_BROWN-CORE-WORKS.bin	/tmp/cd_retry_mirrors_round2/meta/03_BROWN-CORE-WORKS.headers.txt	/tmp/cd_retry_mirrors_round2/meta/03_BROWN-CORE-WORKS.curl.err
BROWN-ARCHIVE-WILDCARD	https://web.archive.org/web/*/https://core.ac.uk/download/pdf/82141950.pdf	200	text/html	154430	https://web.archive.org/web/*/https://core.ac.uk/download/pdf/82141950.pdf	<!DOC	0	ok_nonpdf	823af63a8022dcfeee1241060655b4add41a3226b58e6b752dfce4fda1eef5fd	/tmp/cd_retry_mirrors_round2/files/04_BROWN-ARCHIVE-WILDCARD.bin	/tmp/cd_retry_mirrors_round2/meta/04_BROWN-ARCHIVE-WILDCARD.headers.txt	/tmp/cd_retry_mirrors_round2/meta/04_BROWN-ARCHIVE-WILDCARD.curl.err
BROWN-SCISPACE	https://scispace.com/papers/structure-of-zero-divisors-and-other-algebraic-structures-in-2dzr8sw00c	403	text/html	919	https://scispace.com/papers/structure-of-zero-divisors-and-other-algebraic-structures-in-2dzr8sw00c	<!DOC	0	http_403	203e6387fad7b8d55e51a29d6661803078ca90b28fb378e9ee3239381f643f3e	/tmp/cd_retry_mirrors_round2/files/05_BROWN-SCISPACE.bin	/tmp/cd_retry_mirrors_round2/meta/05_BROWN-SCISPACE.headers.txt	/tmp/cd_retry_mirrors_round2/meta/05_BROWN-SCISPACE.curl.err
EAKIN-DOI	https://doi.org/10.1016/0021-8693(90)90221-9	200	text/html;charset=UTF-8	2669	https://linkinghub.elsevier.com/retrieve/pii/0021869390902219	"




"	0	ok_nonpdf	acf8480ab064f8c00992a0ad80b346a5cc7231ef23abd6e34c17eafc05f64057	/tmp/cd_retry_mirrors_round2/files/06_EAKIN-DOI.bin	/tmp/cd_retry_mirrors_round2/meta/06_EAKIN-DOI.headers.txt	/tmp/cd_retry_mirrors_round2/meta/06_EAKIN-DOI.curl.err
EAKIN-SD-PII-S	https://www.sciencedirect.com/science/article/pii/S0021869390902219	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/S0021869390902219	<!DOC	0	http_403	af8ec5282a78afee82e45b564e0efe06bc8adbc24683361f9faecfec1e806c3f	/tmp/cd_retry_mirrors_round2/files/07_EAKIN-SD-PII-S.bin	/tmp/cd_retry_mirrors_round2/meta/07_EAKIN-SD-PII-S.headers.txt	/tmp/cd_retry_mirrors_round2/meta/07_EAKIN-SD-PII-S.curl.err
EAKIN-SD-PII-S-PDFFT	https://www.sciencedirect.com/science/article/pii/S0021869390902219/pdfft	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/S0021869390902219/pdfft	<!DOC	0	http_403	83065ba1e642b6e42c26d28571bc4d31dbab2afdced73e3301be1eaf0cd0961b	/tmp/cd_retry_mirrors_round2/files/08_EAKIN-SD-PII-S-PDFFT.bin	/tmp/cd_retry_mirrors_round2/meta/08_EAKIN-SD-PII-S-PDFFT.headers.txt	/tmp/cd_retry_mirrors_round2/meta/08_EAKIN-SD-PII-S-PDFFT.curl.err
EAKIN-SD-PII-S-PDFFT-DL	https://www.sciencedirect.com/science/article/pii/S0021869390902219/pdfft?isDTMRedir=true&download=true	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/S0021869390902219/pdfft?isDTMRedir=true&download=true	<!DOC	0	http_403	a9c83e50c74ebfe15d7bf658c9ae1310920ffb413383fb1027f156a7058fe3cd	/tmp/cd_retry_mirrors_round2/files/09_EAKIN-SD-PII-S-PDFFT-DL.bin	/tmp/cd_retry_mirrors_round2/meta/09_EAKIN-SD-PII-S-PDFFT-DL.headers.txt	/tmp/cd_retry_mirrors_round2/meta/09_EAKIN-SD-PII-S-PDFFT-DL.curl.err
EAKIN-SD-PII-NOS-PDFFT-DL	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	<!DOC	0	http_403	7dd6a7bd94e7d211757b70484c006b9089af2cb51812a1999f3e1d0653f5486f	/tmp/cd_retry_mirrors_round2/files/10_EAKIN-SD-PII-NOS-PDFFT-DL.bin	/tmp/cd_retry_mirrors_round2/meta/10_EAKIN-SD-PII-NOS-PDFFT-DL.headers.txt	/tmp/cd_retry_mirrors_round2/meta/10_EAKIN-SD-PII-NOS-PDFFT-DL.curl.err
