metric	value
paper_dk_sfwm_1_per_um	9.43421217294232312e-2
paper_dk_shg_1_per_um	1.01341698502896560e0
paper_dk_spdc_1_per_um	9.23997839291115675e-1
signed_identity_defect_1_per_um	-1.84307270259065792e0
legacy_rate_ratio_cas_to_dir_at_10_um	8.78782839280609351e-2
legacy_dominance_ratio_at_10_um	5.83285578432157159e0
legacy_to_source_rate_ratio_factor_from_susceptibilities	5.31441000000000301e1
eq6_prefactor_omitted_by_legacy_path	5.17799352750808950e0
source_input_and_eq6_scale_estimate	4.43352863015940221e-2
substrate_standalone_rate_proxy	2.27334644757382532e-41
substrate_proxy_is_total_fraction	false
corrected_final_sweep_run	false
