case,thickness_um,dk_sfwm_per_um,dk_shg_per_um,dk_spdc_per_um,a_cas_re,a_cas_im,a_dir_re,a_dir_im,r_cas,r_dir,ratio_cas_to_dir
paper-input,0.1,0.09434212172942322037425355505343852505096604802928245708633467244167617,1.013416985028965560794401091380484801353925612701647039024175674938005,-0.9190748632995423404201475363270462763029595646723645819378410024963291,4.674821322531675166389678682749109311102734702877840842042447647364369e-25,1.700124930062479797914282147254962593908566608478373727851967051324919e-23,0.000000000000000000001499977749009190966618464492795576522984282309391503532688390020839171,7.075606649486804419408059030096901728465259447755463636928004996743453e-24,1.285604521448760668517351746548097738315232733842738454139119616392192e-46,1.265615612849327486468319105086267291427361840893757887499125890137563e-42,0.0001015793822702954342436640356577078024965497084762851478789757103030364
paper-input,3.7,0.09434212172942322037425355505343852505096604802928245708633467244167617,1.013416985028965560794401091380484801353925612701647039024175674938005,-0.9190748632995423404201475363270462763029595646723645819378410024963291,0.00000000000000000001310708884144711749156176072489784714974657935296268456967307994011518,0.000000000000000000009330343283107424357004559980027845667332953389280486815500171094803828,0.00000000000000000005437976225083141486159481796470437898443485327570268753547293951481024,0.000000000000000000009588619289333262692071613029405335185332545111983468829475784789399116,1.150449260792068315530478959035673150048592081421297354421271581231515e-40,1.715118841312156840042176693933101080954657683856041569648386733689383e-39,0.0670769414387584734566104120344724675981297802238572068388530745448634
paper-input,10.0,0.09434212172942322037425355505343852505096604802928245708633467244167617,1.013416985028965560794401091380484801353925612701647039024175674938005,-0.9190748632995423404201475363270462763029595646723645819378410024963291,0.00000000000000000002796329486842394916654305581875461592427297071348483174078336393243361,0.00000000000000000002190317817718561772374854159883431334025702281729492327316067009476111,0.0000000000000000001287184051779052767682742996443560314145520236319680244993435954743626,0.00000000000000000006566180281915091629639197013754510045197726953895045013498787490418345,5.607533662933179768940149995363324275654733508233218946635699108989999e-40,1.17449438518150015409970085078676957947007796952913569676788578081929e-38,0.0477442355934857973559502418803653798818294292071961178517889687503813
paper-input,25.3,0.09434212172942322037425355505343852505096604802928245708633467244167617,1.013416985028965560794401091380484801353925612701647039024175674938005,-0.9190748632995423404201475363270462763029595646723645819378410024963291,0.00000000000000000002786032378913279717565905662506297243221770546042027667153886763577903,0.0000000000000000000662759821081485499284624957861902544862673556318046214606774133551457,0.0000000000000000001089275518599208451598768399032941683982923811069613991917216862466154,0.0000000000000000002748165509457365272267132804264025117997396219007851372163599658045784,2.297201531571086919827174158937480268240644013023891565524371337442459e-39,4.915650837819731923741805846315067662959444128089373125897584674582233e-38,0.04673239836110854615874693229817558228326349633827286874840206751394818
paper-input,75.0,0.09434212172942322037425355505343852505096604802928245708633467244167617,1.013416985028965560794401091380484801353925612701647039024175674938005,-0.9190748632995423404201475363270462763029595646723645819378410024963291,0.00000000000000000002601130096256028292725510813117346241785961674963240158307195219389816,0.00000000000000000001066389501178493666987667547609354775267101406598537249488730458582867,0.0000000000000000001132196741567885965584560607814250573733526726459845381874657801611315,0.0000000000000000000473670909742426286818820772560025285442767928908708101322996071544947,3.512473042610049581026816222344281402056821599656009567422791427480677e-40,8.47256395698650311958574972410184458892226471435068884856876672595855e-39,0.04145702600112747648450112539033930286196648134550855192291852006085137
sellmeier-derived,0.1,-0.1245797598858493058038429533709584861326228197535803834158918689362328,-1.021543325026433270161503137598257602046606835489130693788843981353718,0.896963565140583964357660184227299115913984015735550310372952112417485,-4.378165972360299465080311375087703524542173902093837653982811064664147e-25,1.700207928055421726254854757716030543532081083411800074119646571696865e-23,0.000000000000000000001499961200009658370773643638711140568663567059369654600212528695701014,-9.343361148789107713323521013217050985214092072767653168606738014225023e-24,1.285610592155850427278636910545806702686469919879499617356796716870352e-46,1.265608631211733723807157229236486829012913108348854444095329018659077e-42,0.0001015804222925507543018315213097405705042933349433857916258964046960202
sellmeier-derived,3.7,-0.1245797598858493058038429533709584861326228197535803834158918689362328,-1.021543325026433270161503137598257602046606835489130693788843981353718,0.896963565140583964357660184227299115913984015735550310372952112417485,-0.00000000000000000001254614915808945915784148371567096078652068547692425070370696908013883,0.00000000000000000001015870671586914263471058377790779684563621897934611114420613267944748,0.00000000000000000005355542247329092948728957405450020685137520728828219827143521008118021,-0.00000000000000000001256634503026461135031492379734868007053195670545268795208202390031412,1.158245248160327405797664226250974417127343195680601920048297676369347e-40,1.702179170838186319623527193756672504730751604642086086396965544334541e-39,0.06804484909717140936795157227060677593507180200290719820179550668031392
sellmeier-derived,10.0,-0.1245797598858493058038429533709584861326228197535803834158918689362328,-1.021543325026433270161503137598257602046606835489130693788843981353718,0.896963565140583964357660184227299115913984015735550310372952112417485,-0.0000000000000000000237033638872592302001585909135899779592106155246386612653553664086494,0.00000000000000000002524700395910554822739979211895240606424480750630537272246793553811797,0.0000000000000000001141017369270238214536607141738487221122116778710672528497374174549848,-0.00000000000000000008195862878194952009887720131784824016218210785789961096078759139376739,5.330047415479627693377120709328481480784068721605315478285687477541425e-40,1.110173805088940014783676951111220158836779828310209997758896636931497e-38,0.04801092757771039672948471431110483447514597665358072605103633665787694
sellmeier-derived,25.3,-0.1245797598858493058038429533709584861326228197535803834158918689362328,-1.021543325026433270161503137598257602046606835489130693788843981353718,0.896963565140583964357660184227299115913984015735550310372952112417485,-0.000000000000000000002123207991118263359367852432342480174774987655240306792095446987430776,0.0000000000000000000600175499736446744932822000944013982918257968385387342664447781189326,-0.000000000000000000001237170153479070523411157247072524684742211050767224002188618639171165,-0.0000000000000000002408032265868752605419222297881323747010302919962833940930221449410207,1.602939696449993030872666685921963018567758507789191418489164853932869e-39,3.26180950451092393692232815201899143021803269856233244903611304456122e-38,0.04914265208416387820225733366125334380118246642916147034543766870989462
sellmeier-derived,75.0,-0.1245797598858493058038429533709584861326228197535803834158918689362328,-1.021543325026433270161503137598257602046606835489130693788843981353718,0.896963565140583964357660184227299115913984015735550310372952112417485,-0.000000000000000000005747855053323194545906975717955396080446881193390538456945449903935399,0.00000000000000000005809296797240485507447749548198502177072723964859995387603800165917028,0.000000000000000000009777645784390969130935284413406779369152310736341903871599520620930546,-0.0000000000000000002404119221396466121667593945809094733247897062216535807382574516039365,1.514591451358608552066978179280929685532802594032123324315063907350935e-39,3.25650907484800443973717184965857157479145489263316968417582047916197e-38,0.04650966469145494942282996380848188866934359804610197794184002151989816
