bound_multiplier	parameter	unit	parameter_in_scenario_widths	physical_parameter
1	offset	Pa	9.99999999978304355e-1	1.99999999995660854e-3
1	patch_amplitude_at_100nm	Pa	1.00000000000087974e0	1.00000000000087970e-2
1	full_differential_gap	nm	1.00000000000119793e0	1.00000000000119799e-1
1	full_differential_gain	1	-1.00000000000014233e0	-1.00000000000014227e-3
1	roughness_variance_difference	nm^2	-9.99999999998851474e-1	-9.99999999998851474e-1
1	full_differential_au_thickness	nm	-1.00000000000066702e0	-1.00000000000066702e-1
1	full_differential_silica_thickness	nm	9.99999999918650073e-1	4.99999999959325037e-1
1	full_differential_alumina_thickness	nm	9.99999998764903864e-1	4.99999999382451932e-1
3	offset	Pa	-1.84623769868910803e0	-3.69247539737821602e-3
3	patch_amplitude_at_100nm	Pa	2.99999999998984501e0	2.99999999998984516e-2
3	full_differential_gap	nm	2.99999999999585976e0	2.99999999999585987e-1
3	full_differential_gain	1	-2.99999999998522959e0	-2.99999999998522976e-3
3	roughness_variance_difference	nm^2	-2.99999999998399014e0	-2.99999999998399014e0
3	full_differential_au_thickness	nm	-2.99999999998972289e0	-2.99999999998972311e-1
3	full_differential_silica_thickness	nm	2.99999999978094634e0	1.49999999989047317e0
3	full_differential_alumina_thickness	nm	2.99999999945642992e0	1.49999999972821496e0
10	offset	Pa	3.00310480906662236e-1	6.00620961813324466e-4
10	patch_amplitude_at_100nm	Pa	-1.35793540345135422e0	-1.35793540345135431e-2
10	full_differential_gap	nm	9.99999575296848420e0	9.99999575296848464e-1
10	full_differential_gain	1	-9.99986921952245922e0	-9.99986921952245901e-3
10	roughness_variance_difference	nm^2	9.73951306053706034e0	9.73951306053706034e0
10	full_differential_au_thickness	nm	3.09891569389365129e0	3.09891569389365129e-1
10	full_differential_silica_thickness	nm	-9.99989501944502202e0	-4.99994750972251101e0
10	full_differential_alumina_thickness	nm	-9.99990723403941573e0	-4.99995361701970786e0
100	offset	Pa	-1.38554866043903574e-2	-2.77109732087807150e-5
100	patch_amplitude_at_100nm	Pa	1.24863129411691975e-1	1.24863129411691988e-3
100	full_differential_gap	nm	1.42417126485901697e1	1.42417126485901702e0
100	full_differential_gain	1	6.84205652315746793e0	6.84205652315746787e-3
100	roughness_variance_difference	nm^2	1.86640168954436234e1	1.86640168954436234e1
100	full_differential_au_thickness	nm	-2.92635117905557207e0	-2.92635117905557240e-1
100	full_differential_silica_thickness	nm	-3.12810223361146669e1	-1.56405111680573334e1
100	full_differential_alumina_thickness	nm	-8.49810285250065931e1	-4.24905142625032965e1
