# Casimir plate comparison (Lifshitz formula)
# T=300.0 K, N_Matsubara=500, N_GL=48
#         d_nm     pair         E_J_m2         F_N_m2      eta
         100.0       Si     -1.9060e-7      -5.4924e0   0.4398
         135.9       Si     -7.8181e-8      -1.6803e0   0.4531
         184.8       Si     -3.1737e-8     -5.0656e-1   0.4621
         251.2       Si     -1.2796e-8     -1.5112e-1   0.4680
         341.5       Si     -5.1381e-9     -4.4784e-2   0.4720
         464.2       Si     -2.0591e-9     -1.3219e-2   0.4751
         631.0       Si    -8.2489e-10     -3.8937e-3   0.4781
         857.7       Si    -3.3104e-10     -1.1451e-3   0.4820
        1165.9       Si    -1.3377e-10     -3.3610e-4   0.4892
        1584.9       Si    -5.5134e-11     -9.8464e-5   0.5065
        2154.4       Si    -2.3781e-11     -2.9016e-5   0.5487
        2928.6       Si    -1.1070e-11     -8.8762e-6   0.6416
        3981.1       Si    -5.5931e-12     -2.9771e-6   0.8143
        5411.7       Si    -2.9714e-12     -1.1098e-6   1.0867
        7356.4       Si    -1.6040e-12     -4.3643e-7   1.4735
       10000.0       Si    -8.6791e-13     -1.7359e-7   2.0027

         100.0       Ge     -1.6726e-7      -4.6489e0   0.3860
         135.9       Ge     -7.0564e-8      -1.4748e0   0.4090
         184.8       Ge     -2.9266e-8     -4.5772e-1   0.4261
         251.2       Ge     -1.1981e-8     -1.3954e-1   0.4382
         341.5       Ge     -4.8616e-9     -4.1980e-2   0.4466
         464.2       Ge     -1.9620e-9     -1.2516e-2   0.4527
         631.0       Ge    -7.8999e-10     -3.7107e-3   0.4579
         857.7       Ge    -3.1839e-10     -1.0963e-3   0.4635
        1165.9       Ge    -1.2921e-10     -3.2302e-4   0.4725
        1584.9       Ge    -5.3509e-11     -9.5017e-5   0.4915
        2154.4       Ge    -2.3192e-11     -2.8137e-5   0.5352
        2928.6       Ge    -1.0837e-11     -8.6545e-6   0.6281
        3981.1       Ge    -5.4863e-12     -2.9155e-6   0.7988
        5411.7       Ge    -2.9163e-12     -1.0889e-6   1.0665
        7356.4       Ge    -1.5744e-12     -4.2836e-7   1.4462
       10000.0       Ge    -8.5188e-13     -1.7038e-7   1.9657

         100.0     SiO2     -2.3365e-8     -6.6410e-1   0.0539
         135.9     SiO2     -9.8106e-9     -2.0284e-1   0.0569
         184.8     SiO2     -4.1604e-9     -6.2542e-2   0.0606
         251.2     SiO2     -1.7821e-9     -1.9476e-2   0.0652
         341.5     SiO2    -7.7100e-10     -6.1262e-3   0.0708
         464.2     SiO2    -3.3688e-10     -1.9453e-3   0.0777
         631.0     SiO2    -1.4878e-10     -6.2306e-4   0.0862
         857.7     SiO2    -6.6590e-11     -2.0120e-4   0.0969
        1165.9     SiO2    -3.0377e-11     -6.5564e-5   0.1111
        1584.9     SiO2    -1.4252e-11     -2.1650e-5   0.1309
        2154.4     SiO2    -6.9489e-12     -7.3180e-6   0.1603
        2928.6     SiO2    -3.5382e-12     -2.5763e-6   0.2051
        3981.1     SiO2    -1.8670e-12     -9.5771e-7   0.2718
        5411.7     SiO2    -1.0039e-12     -3.7235e-7   0.3671
        7356.4     SiO2    -5.4280e-13     -1.4761e-7   0.4986
       10000.0     SiO2    -2.9373e-13     -5.8747e-8   0.6778

# Ordering at d=100 nm (larger |F| = stronger Casimir force):
#  1. Si |F| = 5.4924e0 N/m^2
#  2. Ge |F| = 4.6489e0 N/m^2
#  3. SiO2 |F| = 6.6410e-1 N/m^2

# eta at d=100nm and d=1um:
#  Si eta(100nm)=0.4398 eta(1um)=0.4849
#  Ge eta(100nm)=0.3860 eta(1um)=0.4673
#  SiO2 eta(100nm)=0.0539 eta(1um)=0.1035
