# Casimir Drude vs plasma model
# T=300.0 K, N_Matsubara=500, N_GL=48
#    metal         d_nm        E_Drude       E_Plasma       disc_%
        Au        100.0     -2.1526e-7     -2.2007e-7       2.2370
        Au        142.7     -8.5346e-8     -8.8200e-8       3.3440
        Au        203.7     -3.2810e-8     -3.4429e-8       4.9342
        Au        290.6     -1.2225e-8     -1.3110e-8       7.2460
        Au        414.8     -4.4163e-9     -4.8874e-9      10.6661
        Au        591.9     -1.5482e-9     -1.7933e-9      15.8306
        Au        844.7    -5.2759e-10    -6.5305e-10      23.7806
        Au       1205.5    -1.7595e-10    -2.3942e-10      36.0696
        Au       1720.3    -5.8845e-11    -9.0672e-11      54.0861
        Au       2455.1    -2.0982e-11    -3.6845e-11      75.6008
        Au       3503.6    -8.5893e-12    -1.6461e-11      91.6405
        Au       5000.0    -3.9916e-12    -7.8853e-12      97.5478

        Ag        100.0     -2.2336e-7     -2.2818e-7       2.1573
        Ag        142.7     -8.8400e-8     -9.1255e-8       3.2301
        Ag        203.7     -3.3880e-8     -3.5500e-8       4.7802
        Ag        290.6     -1.2575e-8     -1.3461e-8       7.0463
        Ag        414.8     -4.5238e-9     -4.9949e-9      10.4150
        Ag        591.9     -1.5792e-9     -1.8244e-9      15.5219
        Ag        844.7    -5.3598e-10    -6.6145e-10      23.4111
        Ag       1205.5    -1.7803e-10    -2.4150e-10      35.6518
        Ag       1720.3    -5.9293e-11    -9.1122e-11      53.6806
        Ag       2455.1    -2.1058e-11    -3.6921e-11      75.3311
        Ag       3503.6    -8.5978e-12    -1.6469e-11      91.5530
        Ag       5000.0    -3.9921e-12    -7.8858e-12      97.5381

        Cu        100.0     -2.1817e-7     -2.2289e-7       2.1639
        Cu        142.7     -8.6089e-8     -8.8899e-8       3.2645
        Cu        203.7     -3.3018e-8     -3.4618e-8       4.8463
        Cu        290.6     -1.2291e-8     -1.3169e-8       7.1449
        Cu        414.8     -4.4389e-9     -4.9069e-9      10.5449
        Cu        591.9     -1.5558e-9     -1.7998e-9      15.6815
        Cu        844.7    -5.2995e-10    -6.5500e-10      23.5972
        Cu       1205.5    -1.7660e-10    -2.3992e-10      35.8525
        Cu       1720.3    -5.8997e-11    -9.0771e-11      53.8579
        Cu       2455.1    -2.1009e-11    -3.6853e-11      75.4164
        Cu       3503.6    -8.5924e-12    -1.6457e-11      91.5330
        Cu       5000.0    -3.9917e-12    -7.8832e-12      97.4872

# Summary: discrepancy % at selected separations
#    metal    d=100nm    d=200nm    d=500nm      d=1um      d=2um
        Au     2.237%     4.838%    13.108%    28.962%    63.168%
        Ag     2.157%     4.686%    12.827%    28.566%    62.804%
        Cu     2.164%     4.751%    12.973%    28.761%    62.951%
