inclination_bin,alpha_zd_injected,detected_snr,alpha_zd_recovered,recovery_ratio,n_galaxies
low-i,0.000000,0.643905,0.277733,NaN,3139
low-i,0.001000,0.643270,0.277477,277.4766,3139
low-i,0.002000,0.642635,0.277221,138.6103,3139
low-i,0.004000,0.641365,0.276709,69.1771,3139
low-i,0.008000,0.638822,0.275685,34.4606,3139
low-i,0.016000,0.633731,0.273637,17.1023,3139
mid-i,0.000000,0.626736,0.615057,NaN,2681
mid-i,0.001000,0.626681,0.614968,614.9683,2681
mid-i,0.002000,0.626627,0.614880,307.4400,2681
mid-i,0.004000,0.626518,0.614703,153.6759,2681
mid-i,0.008000,0.626299,0.614350,76.7938,2681
mid-i,0.016000,0.625860,0.613645,38.3528,2681
high-i,0.000000,0.886386,0.788036,NaN,1175
high-i,0.001000,0.886761,0.788325,788.3248,1175
high-i,0.002000,0.887136,0.788614,394.3068,1175
high-i,0.004000,0.887885,0.789191,197.2978,1175
high-i,0.008000,0.889383,0.790346,98.7933,1175
high-i,0.016000,0.892378,0.792656,49.5410,1175
