mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
1,0.897598,0,70,10.8400,10.2300,10.8700,-3.65631941e-2,-1.77745357e-2,1.65280128e-3,-2.689101,9.99899557e-2,0.585206,0.406587
2,1.795196,0,70,10.8400,10.2300,10.8700,-2.57709946e-2,-3.37022363e-2,1.79998489e-3,-2.223619,9.99899557e-2,0.585206,0.424305
3,2.692794,0,70,10.8400,10.2300,10.8700,-7.43975113e-3,-4.44840217e-2,2.03417809e-3,-1.736508,9.99899557e-2,0.585206,0.451064
4,3.590392,0,70,10.8400,10.2300,10.8700,1.64077469e-2,-4.54931718e-2,2.33884284e-3,-1.224653,9.99899557e-2,0.585206,0.483664
5,4.487990,0,70,10.8400,10.2300,10.8700,4.00469485e-2,-3.29777977e-2,2.69129323e-3,-0.688894,9.99899557e-2,0.585206,0.518829
6,5.385587,0,70,10.8400,10.2300,10.8700,5.48685189e-2,-7.28108046e-3,3.06356850e-3,-0.131930,9.99899557e-2,0.585206,0.553551
7,6.283185,0,70,10.8400,10.2300,10.8700,5.28637896e-2,2.50876279e-2,3.42396932e-3,0.443098,9.99899557e-2,0.585206,0.585206
1,0.897598,1,70,10.8900,10.8700,10.9000,3.64393521e-1,3.51922142e-1,2.56631832e-1,0.767989,6.23664766e-1,0.812277,0.812277
2,1.795196,1,70,10.8900,10.8700,10.9000,1.77178192e-2,5.04639836e-1,2.54975285e-1,1.535701,6.23664766e-1,0.812277,0.809651
3,2.692794,1,70,10.8900,10.8700,10.9000,-3.35637989e-1,3.73472695e-1,2.52134713e-1,2.302890,6.23664766e-1,0.812277,0.805128
4,3.590392,1,70,10.8900,10.8700,10.9000,-4.96703190e-1,3.59327719e-2,2.48005223e-1,3.069376,6.23664766e-1,0.812277,0.798508
5,4.487990,1,70,10.8900,10.8700,10.9000,-3.78677658e-1,-3.14754689e-1,2.42467283e-1,-2.448118,6.23664766e-1,0.812277,0.789542
6,5.385587,1,70,10.8900,10.8700,10.9000,-5.44257911e-2,-4.82128351e-1,2.35409913e-1,-1.683207,6.23664766e-1,0.812277,0.777967
7,6.283185,1,70,10.8900,10.8700,10.9000,2.88884431e-1,-3.78551111e-1,2.26755158e-1,-0.918944,6.23664766e-1,0.812277,0.763532
1,0.897598,2,70,10.9100,10.9000,10.9300,-2.03356986e-1,-1.25622874e-1,5.71351701e-2,-2.588227,6.92840892e-2,3.449993,3.449993
2,1.795196,2,70,10.9100,10.9000,10.9300,-1.05895349e-1,-2.11442690e-1,5.59218360e-2,-2.035102,6.92840892e-2,3.449993,3.413164
3,2.692794,2,70,10.9100,10.9000,10.9300,2.04887826e-2,-2.31359054e-1,5.39468021e-2,-1.482468,6.92840892e-2,3.449993,3.352350
4,3.590392,2,70,10.9100,10.9000,10.9300,1.35269663e-1,-1.81605814e-1,5.12785534e-2,-0.930597,6.92840892e-2,3.449993,3.268394
5,4.487990,2,70,10.9100,10.9000,10.9300,2.03494983e-1,-8.12298403e-2,4.80084952e-2,-0.379794,6.92840892e-2,3.449993,3.162464
6,5.385587,2,70,10.9100,10.9000,10.9300,2.07331559e-1,3.55019742e-2,4.42467655e-2,0.169588,6.92840892e-2,3.449993,3.036038
7,6.283185,2,70,10.9100,10.9000,10.9300,1.50960455e-1,1.31636547e-1,4.01172394e-2,0.717125,6.92840892e-2,3.449993,2.890893
1,0.897598,3,70,10.9400,10.9300,10.9500,-1.84301981e-1,-1.11237984e-1,4.63411092e-2,-2.598557,1.58165891e-1,1.361038,1.361038
2,1.795196,3,70,10.9400,10.9300,10.9500,-9.96392916e-2,-1.89280369e-1,4.57550467e-2,-2.055349,1.58165891e-1,1.361038,1.352405
3,2.692794,3,70,10.9400,10.9300,10.9500,1.24755153e-2,-2.11249108e-1,4.47818239e-2,-1.511809,1.58165891e-1,1.361038,1.337944
4,3.590392,3,70,10.9400,10.9300,10.9500,1.18182439e-1,-1.71641564e-1,4.34279155e-2,-0.967802,1.58165891e-1,1.361038,1.317564
5,4.487990,3,70,10.9400,10.9300,10.9500,1.86198357e-1,-8.38730337e-2,4.17045140e-2,-0.423228,1.58165891e-1,1.361038,1.291156
6,5.385587,3,70,10.9400,10.9300,10.9500,1.97592198e-1,2.42196063e-2,3.96292658e-2,0.121965,1.58165891e-1,1.361038,1.258622
7,6.283185,3,70,10.9400,10.9300,10.9500,1.51501100e-1,1.19479759e-1,3.72279962e-2,0.667775,1.58165891e-1,1.361038,1.219894
1,0.897598,4,70,10.9700,10.9500,10.9800,-5.20026094e-2,-3.66041448e-2,4.04413480e-3,-2.528260,5.12800161e-2,1.240123,1.240123
2,1.795196,4,70,10.9700,10.9500,10.9800,-2.10537140e-2,-5.88718491e-2,3.90915349e-3,-1.914243,5.12800161e-2,1.240123,1.219251
3,2.692794,4,70,10.9700,10.9500,10.9800,1.63236457e-2,-5.85273749e-2,3.69191502e-3,-1.298802,5.12800161e-2,1.240123,1.184889
4,3.590392,4,70,10.9700,10.9500,10.9800,4.53236108e-2,-3.67330078e-2,3.40354356e-3,-0.681087,5.12800161e-2,1.240123,1.137673
5,4.487990,4,70,10.9700,10.9500,10.9800,5.52057980e-2,-3.31914851e-3,3.05869688e-3,-0.060051,5.12800161e-2,1.240123,1.078500
6,5.385587,4,70,10.9700,10.9500,10.9800,4.36617268e-2,2.77194050e-2,2.67471180e-3,0.565663,5.12800161e-2,1.240123,1.008534
7,6.283185,4,70,10.9700,10.9500,10.9800,1.73596531e-2,4.43760376e-2,2.27059027e-3,1.197904,5.12800161e-2,1.240123,0.929226
1,0.897598,5,70,10.9900,10.9800,11.0000,-9.75135437e-3,-3.77234407e-3,1.09319492e-4,-2.772471,6.38631670e-2,0.246895,0.163719
2,1.795196,5,70,10.9900,10.9800,11.0000,-7.79276949e-3,-6.90249004e-3,1.08371625e-4,-2.416703,6.38631670e-2,0.246895,0.163007
3,2.692794,5,70,10.9900,10.9800,11.0000,-5.13909090e-3,-9.15659552e-3,1.10253497e-4,-2.082232,6.38631670e-2,0.246895,0.164417
4,3.590392,5,70,10.9900,10.9800,11.0000,-2.10813786e-3,-1.07334195e-2,1.19650540e-4,-1.764736,6.38631670e-2,0.246895,0.171280
5,4.487990,5,70,10.9900,10.9800,11.0000,1.49558418e-3,-1.18292772e-2,1.42168571e-4,-1.445033,6.38631670e-2,0.246895,0.186703
6,5.385587,5,70,10.9900,10.9800,11.0000,6.15635236e-3,-1.20670301e-2,1.83513889e-4,-1.099038,6.38631670e-2,0.246895,0.212121
7,6.283185,5,70,10.9900,10.9800,11.0000,1.19328126e-2,-1.03063899e-2,2.48613689e-4,-0.712395,6.38631670e-2,0.246895,0.246895
1,0.897598,6,70,11.0100,11.0000,11.0100,-2.40433627e-1,-1.81079450e-1,9.05980962e-2,-2.496087,6.94128900e-2,4.336301,4.336301
2,1.795196,6,70,11.0100,11.0000,11.0100,-8.12004511e-2,-2.82032218e-1,8.61356850e-2,-1.851127,6.94128900e-2,4.336301,4.228160
3,2.692794,6,70,11.0100,11.0000,11.0100,9.99914791e-2,-2.62869142e-1,7.90984819e-2,-1.207313,6.94128900e-2,4.336301,4.051762
4,3.590392,6,70,11.0100,11.0000,11.0100,2.23469954e-1,-1.41781934e-1,7.00409370e-2,-0.565371,6.94128900e-2,4.336301,3.812728
5,4.487990,6,70,11.0100,11.0000,11.0100,2.43577040e-1,1.79979154e-2,5.96536994e-2,0.073756,6.94128900e-2,4.336301,3.518670
6,5.385587,6,70,11.0100,11.0000,11.0100,1.67520505e-1,1.43624492e-1,4.86911143e-2,0.708748,6.94128900e-2,4.336301,3.178958
7,6.283185,6,70,11.0100,11.0000,11.0100,4.49756406e-2,1.89398613e-1,3.78946427e-2,1.337649,6.94128900e-2,4.336301,2.804457
1,0.897598,7,70,11.0200,11.0100,11.0300,3.62627852e-2,3.63550984e-2,2.63668277e-3,0.786669,1.09317088e-1,0.584867,0.469722
2,1.795196,7,70,11.0200,11.0100,11.0300,1.12803857e-4,5.24182344e-2,2.74768402e-3,1.568644,1.09317088e-1,0.584867,0.479507
3,2.692794,7,70,11.0200,11.0100,11.0300,-3.77098540e-2,3.87836795e-2,2.92620689e-3,2.342157,1.09317088e-1,0.584867,0.494840
4,3.590392,7,70,11.0200,11.0100,11.0300,-5.62018700e-2,2.06407946e-3,3.16291061e-3,3.104883,1.09317088e-1,0.584867,0.514464
5,4.487990,7,70,11.0200,11.0100,11.0300,-4.43477300e-2,-3.84542397e-2,3.44544971e-3,-2.427250,1.09317088e-1,0.584867,0.536951
6,5.385587,7,70,11.0200,11.0100,11.0300,-7.14883930e-3,-6.08937118e-2,3.75915004e-3,-1.687660,1.09317088e-1,0.584867,0.560863
7,6.283185,7,70,11.0200,11.0100,11.0300,3.67393380e-2,-5.23261332e-2,4.08780317e-3,-0.958648,1.09317088e-1,0.584867,0.584867
1,0.897598,8,70,11.0400,11.0300,11.0500,-3.27763978e-2,5.62574947e-3,1.10594131e-3,2.971609,1.89408617e-1,0.712527,0.175576
2,1.795196,8,70,11.0400,11.0300,11.0500,-5.22118976e-2,-8.95153356e-3,2.80621221e-3,-2.971797,1.89408617e-1,0.712527,0.279679
3,2.692794,8,70,11.0400,11.0300,11.0500,-5.68338046e-2,-4.67790644e-2,5.41836222e-3,-2.452933,1.89408617e-1,0.712527,0.388628
4,3.590392,8,70,11.0400,11.0300,11.0500,-2.75617076e-2,-8.87689290e-2,8.63957048e-3,-1.871847,1.89408617e-1,0.712527,0.490734
5,4.487990,8,70,11.0400,11.0300,11.0500,3.32840315e-2,-1.04847917e-1,1.21009126e-2,-1.263408,1.89408617e-1,0.712527,0.580777
6,5.385587,8,70,11.0400,11.0300,11.0500,9.95173302e-2,-7.42255908e-2,1.54131373e-2,-0.640844,1.89408617e-1,0.712527,0.655459
7,6.283185,8,70,11.0400,11.0300,11.0500,1.34951711e-1,-1.37626422e-3,1.82138585e-2,-0.010198,1.89408617e-1,0.712527,0.712527
1,0.897598,9,70,11.0600,11.0500,11.0600,-1.28920592e-1,-9.95647281e-2,2.65336540e-2,-2.483975,1.94456473e-1,0.837676,0.837676
2,1.795196,9,70,11.0600,11.0500,11.0600,-4.00814371e-2,-1.48994514e-1,2.38058868e-2,-1.833588,1.94456473e-1,0.837676,0.793450
3,2.692794,9,70,11.0600,11.0500,11.0600,5.10842152e-2,-1.31192687e-1,1.98211182e-2,-1.199476,1.94456473e-1,0.837676,0.724005
