x,delta_stack,delta_stack_err,n_contributing
0.500000,5.67853871e-3,3.42610208e-4,928
0.547739,-4.04451716e-2,4.15008673e-4,720
0.595477,-5.84873505e-2,4.86592770e-4,565
0.643216,-1.11420174e-1,6.10227857e-4,424
0.690955,-1.22338447e-1,7.51415624e-4,311
0.738693,-7.45385111e-2,8.95219555e-4,235
0.786432,-9.87152856e-3,1.11231619e-3,170
0.834171,-3.57828663e-2,1.43597379e-3,132
0.881910,-5.33325380e-2,1.75065528e-3,104
0.929648,-1.70323005e-2,2.20959683e-3,71
0.977387,-2.96739193e-3,2.62361821e-3,47
1.025126,-1.67790769e-1,3.09509039e-3,39
1.072864,-2.72706421e-1,3.10499393e-3,26
1.120603,-2.72879725e-1,3.74352178e-3,18
1.168342,0.00000000e0,0.00000000e0,7
1.216080,0.00000000e0,0.00000000e0,4
1.263819,0.00000000e0,0.00000000e0,3
1.311558,0.00000000e0,0.00000000e0,0
1.359296,0.00000000e0,0.00000000e0,0
1.407035,0.00000000e0,0.00000000e0,0
1.454774,0.00000000e0,0.00000000e0,0
1.502513,0.00000000e0,0.00000000e0,0
1.550251,0.00000000e0,0.00000000e0,0
1.597990,0.00000000e0,0.00000000e0,0
1.645729,0.00000000e0,0.00000000e0,0
1.693467,0.00000000e0,0.00000000e0,0
1.741206,0.00000000e0,0.00000000e0,0
1.788945,0.00000000e0,0.00000000e0,0
1.836683,0.00000000e0,0.00000000e0,0
1.884422,0.00000000e0,0.00000000e0,0
1.932161,0.00000000e0,0.00000000e0,0
1.979899,0.00000000e0,0.00000000e0,0
2.027638,0.00000000e0,0.00000000e0,0
2.075377,0.00000000e0,0.00000000e0,0
2.123116,0.00000000e0,0.00000000e0,0
2.170854,0.00000000e0,0.00000000e0,0
2.218593,0.00000000e0,0.00000000e0,0
2.266332,0.00000000e0,0.00000000e0,0
2.314070,0.00000000e0,0.00000000e0,0
2.361809,0.00000000e0,0.00000000e0,0
2.409548,0.00000000e0,0.00000000e0,0
2.457286,0.00000000e0,0.00000000e0,0
2.505025,0.00000000e0,0.00000000e0,0
2.552764,0.00000000e0,0.00000000e0,0
2.600503,0.00000000e0,0.00000000e0,0
2.648241,0.00000000e0,0.00000000e0,0
2.695980,0.00000000e0,0.00000000e0,0
2.743719,0.00000000e0,0.00000000e0,0
2.791457,0.00000000e0,0.00000000e0,0
2.839196,0.00000000e0,0.00000000e0,0
2.886935,0.00000000e0,0.00000000e0,0
2.934673,0.00000000e0,0.00000000e0,0
2.982412,0.00000000e0,0.00000000e0,0
3.030151,0.00000000e0,0.00000000e0,0
3.077889,0.00000000e0,0.00000000e0,0
3.125628,0.00000000e0,0.00000000e0,0
3.173367,0.00000000e0,0.00000000e0,0
3.221106,0.00000000e0,0.00000000e0,0
3.268844,0.00000000e0,0.00000000e0,0
3.316583,0.00000000e0,0.00000000e0,0
3.364322,0.00000000e0,0.00000000e0,0
3.412060,0.00000000e0,0.00000000e0,0
3.459799,0.00000000e0,0.00000000e0,0
3.507538,0.00000000e0,0.00000000e0,0
3.555276,0.00000000e0,0.00000000e0,0
3.603015,0.00000000e0,0.00000000e0,0
3.650754,0.00000000e0,0.00000000e0,0
3.698492,0.00000000e0,0.00000000e0,0
3.746231,0.00000000e0,0.00000000e0,0
3.793970,0.00000000e0,0.00000000e0,0
3.841709,0.00000000e0,0.00000000e0,0
3.889447,0.00000000e0,0.00000000e0,0
3.937186,0.00000000e0,0.00000000e0,0
3.984925,0.00000000e0,0.00000000e0,0
4.032663,0.00000000e0,0.00000000e0,0
4.080402,0.00000000e0,0.00000000e0,0
4.128141,0.00000000e0,0.00000000e0,0
4.175879,0.00000000e0,0.00000000e0,0
4.223618,0.00000000e0,0.00000000e0,0
4.271357,0.00000000e0,0.00000000e0,0
4.319095,0.00000000e0,0.00000000e0,0
4.366834,0.00000000e0,0.00000000e0,0
4.414573,0.00000000e0,0.00000000e0,0
4.462312,0.00000000e0,0.00000000e0,0
4.510050,0.00000000e0,0.00000000e0,0
4.557789,0.00000000e0,0.00000000e0,0
4.605528,0.00000000e0,0.00000000e0,0
4.653266,0.00000000e0,0.00000000e0,0
4.701005,0.00000000e0,0.00000000e0,0
4.748744,0.00000000e0,0.00000000e0,0
4.796482,0.00000000e0,0.00000000e0,0
4.844221,0.00000000e0,0.00000000e0,0
4.891960,0.00000000e0,0.00000000e0,0
4.939698,0.00000000e0,0.00000000e0,0
4.987437,0.00000000e0,0.00000000e0,0
5.035176,0.00000000e0,0.00000000e0,0
5.082915,0.00000000e0,0.00000000e0,0
5.130653,0.00000000e0,0.00000000e0,0
5.178392,0.00000000e0,0.00000000e0,0
5.226131,0.00000000e0,0.00000000e0,0
5.273869,0.00000000e0,0.00000000e0,0
5.321608,0.00000000e0,0.00000000e0,0
5.369347,0.00000000e0,0.00000000e0,0
5.417085,0.00000000e0,0.00000000e0,0
5.464824,0.00000000e0,0.00000000e0,0
5.512563,0.00000000e0,0.00000000e0,0
5.560302,0.00000000e0,0.00000000e0,0
5.608040,0.00000000e0,0.00000000e0,0
5.655779,0.00000000e0,0.00000000e0,0
5.703518,0.00000000e0,0.00000000e0,0
5.751256,0.00000000e0,0.00000000e0,0
5.798995,0.00000000e0,0.00000000e0,0
5.846734,0.00000000e0,0.00000000e0,0
5.894472,0.00000000e0,0.00000000e0,0
5.942211,0.00000000e0,0.00000000e0,0
5.989950,0.00000000e0,0.00000000e0,0
6.037688,0.00000000e0,0.00000000e0,0
6.085427,0.00000000e0,0.00000000e0,0
6.133166,0.00000000e0,0.00000000e0,0
6.180905,0.00000000e0,0.00000000e0,0
6.228643,0.00000000e0,0.00000000e0,0
6.276382,0.00000000e0,0.00000000e0,0
6.324121,0.00000000e0,0.00000000e0,0
6.371859,0.00000000e0,0.00000000e0,0
6.419598,0.00000000e0,0.00000000e0,0
6.467337,0.00000000e0,0.00000000e0,0
6.515075,0.00000000e0,0.00000000e0,0
6.562814,0.00000000e0,0.00000000e0,0
6.610553,0.00000000e0,0.00000000e0,0
6.658291,0.00000000e0,0.00000000e0,0
6.706030,0.00000000e0,0.00000000e0,0
6.753769,0.00000000e0,0.00000000e0,0
6.801508,0.00000000e0,0.00000000e0,0
6.849246,0.00000000e0,0.00000000e0,0
6.896985,0.00000000e0,0.00000000e0,0
6.944724,0.00000000e0,0.00000000e0,0
6.992462,0.00000000e0,0.00000000e0,0
7.040201,0.00000000e0,0.00000000e0,0
7.087940,0.00000000e0,0.00000000e0,0
7.135678,0.00000000e0,0.00000000e0,0
7.183417,0.00000000e0,0.00000000e0,0
7.231156,0.00000000e0,0.00000000e0,0
7.278894,0.00000000e0,0.00000000e0,0
7.326633,0.00000000e0,0.00000000e0,0
7.374372,0.00000000e0,0.00000000e0,0
7.422111,0.00000000e0,0.00000000e0,0
7.469849,0.00000000e0,0.00000000e0,0
7.517588,0.00000000e0,0.00000000e0,0
7.565327,0.00000000e0,0.00000000e0,0
7.613065,0.00000000e0,0.00000000e0,0
7.660804,0.00000000e0,0.00000000e0,0
7.708543,0.00000000e0,0.00000000e0,0
7.756281,0.00000000e0,0.00000000e0,0
7.804020,0.00000000e0,0.00000000e0,0
7.851759,0.00000000e0,0.00000000e0,0
7.899497,0.00000000e0,0.00000000e0,0
7.947236,0.00000000e0,0.00000000e0,0
7.994975,0.00000000e0,0.00000000e0,0
8.042714,0.00000000e0,0.00000000e0,0
8.090452,0.00000000e0,0.00000000e0,0
8.138191,0.00000000e0,0.00000000e0,0
8.185930,0.00000000e0,0.00000000e0,0
8.233668,0.00000000e0,0.00000000e0,0
8.281407,0.00000000e0,0.00000000e0,0
8.329146,0.00000000e0,0.00000000e0,0
8.376884,0.00000000e0,0.00000000e0,0
8.424623,0.00000000e0,0.00000000e0,0
8.472362,0.00000000e0,0.00000000e0,0
8.520101,0.00000000e0,0.00000000e0,0
8.567839,0.00000000e0,0.00000000e0,0
8.615578,0.00000000e0,0.00000000e0,0
8.663317,0.00000000e0,0.00000000e0,0
8.711055,0.00000000e0,0.00000000e0,0
8.758794,0.00000000e0,0.00000000e0,0
8.806533,0.00000000e0,0.00000000e0,0
8.854271,0.00000000e0,0.00000000e0,0
8.902010,0.00000000e0,0.00000000e0,0
8.949749,0.00000000e0,0.00000000e0,0
8.997487,0.00000000e0,0.00000000e0,0
9.045226,0.00000000e0,0.00000000e0,0
9.092965,0.00000000e0,0.00000000e0,0
9.140704,0.00000000e0,0.00000000e0,0
9.188442,0.00000000e0,0.00000000e0,0
9.236181,0.00000000e0,0.00000000e0,0
9.283920,0.00000000e0,0.00000000e0,0
9.331658,0.00000000e0,0.00000000e0,0
9.379397,0.00000000e0,0.00000000e0,0
9.427136,0.00000000e0,0.00000000e0,0
9.474874,0.00000000e0,0.00000000e0,0
9.522613,0.00000000e0,0.00000000e0,0
9.570352,0.00000000e0,0.00000000e0,0
9.618090,0.00000000e0,0.00000000e0,0
9.665829,0.00000000e0,0.00000000e0,0
9.713568,0.00000000e0,0.00000000e0,0
9.761307,0.00000000e0,0.00000000e0,0
9.809045,0.00000000e0,0.00000000e0,0
9.856784,0.00000000e0,0.00000000e0,0
9.904523,0.00000000e0,0.00000000e0,0
9.952261,0.00000000e0,0.00000000e0,0
10.000000,0.00000000e0,0.00000000e0,0
