radial_bin,mode,n_galaxies,mean_r_kpc,mean_r_norm,aligned_abs_km_s,aligned_phase_rad,aligned_rayleigh_r,aligned_bootstrap_sigma_km_s,aligned_snr,unaligned_abs_km_s,unaligned_phase_rad,unaligned_bootstrap_sigma_km_s,unaligned_snr
1,0,9,1.738699,0.099273,19.031276,3.141593,0.111111,22.205507,0.857052,19.031276,3.141593,23.666044,0.804160
1,1,9,1.738699,0.099273,13.078235,0.342818,0.134617,12.866242,1.016477,13.096853,-3.050785,13.107065,0.999221
1,2,9,1.738699,0.099273,12.936554,-2.762235,0.101107,13.865276,0.933018,25.465349,2.755964,15.356223,1.658308
1,3,9,1.738699,0.099273,7.868187,0.331506,0.327335,8.377366,0.939220,9.306611,2.396389,8.405823,1.107162
1,4,9,1.738699,0.099273,8.786406,2.926655,0.338061,5.850176,1.501905,5.509552,1.481490,4.668994,1.180030
2,0,5,2.516324,0.128814,18.821452,3.141593,0.600000,32.324928,0.582258,18.821452,3.141593,34.082461,0.552233
2,1,5,2.516324,0.128814,38.237221,-1.975249,0.307889,25.713853,1.487028,33.357573,-1.973284,31.823637,1.048201
2,2,5,2.516324,0.128814,15.500068,0.580079,0.311945,23.326678,0.664478,19.348093,-2.411513,22.707442,0.852060
2,3,5,2.516324,0.128814,37.166486,-1.618090,0.694478,15.300395,2.429119,37.165762,1.253258,14.703070,2.527755
2,4,5,2.516324,0.128814,28.236450,0.634209,0.858863,10.310237,2.738681,13.506455,1.767112,10.460240,1.291219
3,0,8,3.769548,0.209393,25.533065,3.141593,0.500000,21.375249,1.194515,25.533065,3.141593,21.583059,1.183014
3,1,8,3.769548,0.209393,39.674669,2.981062,0.414706,21.104837,1.879885,42.566845,-1.444018,21.853154,1.947858
3,2,8,3.769548,0.209393,10.527751,-1.567936,0.150922,12.537663,0.839690,25.051223,-2.736039,14.394714,1.740307
3,3,8,3.769548,0.209393,9.402053,0.445480,0.015662,13.913343,0.675758,32.385392,2.446905,16.231528,1.995215
3,4,8,3.769548,0.209393,18.237932,-1.469120,0.264936,13.839795,1.317789,23.058535,3.009667,13.999148,1.647139
4,0,4,3.568834,0.234721,53.969670,0.000000,0.500000,38.468307,1.402965,53.969670,0.000000,39.212962,1.376322
4,1,4,3.568834,0.234721,10.060176,-0.857460,0.475267,7.849379,1.281652,15.882077,0.679567,6.140736,2.586348
