dim,phi,l_grav,l_avt,action
16,0,0,-1.949476445324846,-1.949476445324846
16,0.001,-0.015814510224464173,-1.9390931005600582,-1.9549076107845225
16,0.002,-0.028854429724352232,-1.9287374816824927,-1.957591911406845
16,0.003,-0.040845848928359824,-1.9184095886921497,-1.9592554376205096
16,0.004,-0.0521556659667953,-1.9081094215890284,-1.9602650875558236
16,0.005,-0.0629581318943335,-1.89783698037313,-1.9607951122674636
16,0.006,-0.07335587750026827,-1.887592265044454,-1.9609481425447224
16,0.007,-0.08341671708378696,-1.8773752756030004,-1.9607919926867874
16,0.008,-0.09318884844420913,-1.8671860120487696,-1.9603748604929787
16,0.009,-0.10270830853018596,-1.8570244743817603,-1.9597327829119462
16,0.01,-0.11200306870969469,-1.8468906626019739,-1.9588937313116686
16,0.011,-0.1210954740129854,-1.8367845767094102,-1.9578800507223957
16,0.012,-0.13000378761957532,-1.8267062167040686,-1.9567100043236438
16,0.013,-0.13874321682858154,-1.8166555825859492,-1.9553987994145308
16,0.014,-0.14732662145864986,-1.8066326743550525,-1.9539592958137024
16,0.015,-0.15576501882219274,-1.796637492011378,-1.9524025108335707
16,0.016,-0.1640679534537664,-1.786670035554926,-1.9507379890086924
16,0.017,-0.17224377405703334,-1.7767303049856964,-1.9489740790427297
16,0.018,-0.1802998450718412,-1.7668183003036888,-1.94711814537553
16,0.019,-0.18824271108870705,-1.7569340215089042,-1.9451767325976113
16,0.02,-0.196078226559464,-1.7470774686013422,-1.9431556951608062
16,0.021,-0.20381165950515107,-1.7372486415810018,-1.941060301086153
16,0.022,-0.21144777542840554,-1.7274475404478844,-1.93889531587629
16,0.023,-0.21899090593993578,-1.7176741652019891,-1.9366650711419249
16,0.024,-0.22644500542921622,-1.7079285158433162,-1.9343735212725324
16,0.025,-0.23381369827506213,-1.6982105923718658,-1.9320242906469278
16,0.026,-0.2411003184914987,-1.6885203947876377,-1.9296207132791365
16,0.027,-0.24830794326607455,-1.6788579230906322,-1.9271658663567068
16,0.028,-0.2554394215233692,-1.6692231772808488,-1.9246625988042179
16,0.029,-0.26249739840330566,-1.659616157358288,-1.9221135557615936
16,0.03,-0.2694843363595335,-1.6500368633229494,-1.919521199682483
16,0.031,-0.27640253344189014,-1.6404852951748334,-1.9168878286167237
16,0.032,-0.28325413921763853,-1.6309614529139398,-1.9142155921315784
16,0.033,-0.2900411687008152,-1.6214653365402685,-1.9115065052410838
16,0.034,-0.29676551459179046,-1.6119969460538197,-1.9087624606456102
16,0.035,-0.3034289580757724,-1.602556281454593,-1.9059852395303656
16,0.036,-0.3100331783863023,-1.5931433427425896,-1.9031765211288918
16,0.037,-0.3165797613054117,-1.5837581299178078,-1.9003378912232196
16,0.038,-0.3230702067442496,-1.5744006429802486,-1.897470849724498
16,0.039,-0.3295059355252596,-1.565070881929912,-1.8945768174551716
16,0.04,-0.335888295468346,-1.5557688467667974,-1.8916571422351434
16,0.041,-0.3422185668680865,-1.5464945374909054,-1.8887131043589918
16,0.042,-0.34849796743630246,-1.5372479541022357,-1.8857459215385382
16,0.043,-0.35472765677367335,-1.5280290966007883,-1.8827567533744616
16,0.044,-0.36090874042518795,-1.5188379649865633,-1.8797467054117512
16,0.045,-0.3670422735667506,-1.509674559259561,-1.8767168328263117
16,0.046,-0.3731292643639468,-1.500538879419781,-1.8736681437837277
16,0.047,-0.37917067703861945,-1.4914309254672233,-1.8706016025058427
16,0.048,-0.3851674346743571,-1.4823506974018879,-1.867518132076245
16,0.049,-0.3911204217881004,-1.4732981952237751,-1.8644186170118755
16,0.05,-0.3970304866917452,-1.4642734189328845,-1.8613039056246297
16,0.051,-0.40289844366474986,-1.4552763685292163,-1.858174812193966
16,0.052,-0.4087250749562844,-1.4463070440127708,-1.855032118969055
16,0.053,-0.41451113263331707,-1.4373654453835476,-1.8518765780168647
16,0.054,-0.4202573402891789,-1.4284515726415465,-1.8487089129307255
16,0.055,-0.4259643946255286,-1.419565425786768,-1.8455298204122967
16,0.056,-0.43163296691923214,-1.410707004819212,-1.8423399717384443
16,0.057,-0.4372637043844347,-1.4018763097388784,-1.8391400141233132
16,0.058,-0.44285723143902156,-1.393073340545767,-1.8359305719847885
16,0.059,-0.4484141508837146,-1.384298097239878,-1.8327122481235927
16,0.06,-0.45393504500120896,-1.3755505798212115,-1.8294856248224205
16,0.061,-0.4594204765820123,-1.3668307882897675,-1.8262512648717797
16,0.062,-0.46487098988300535,-1.3581387226455455,-1.8230097125285507
16,0.063,-0.47028711152413766,-1.3494743828885463,-1.8197614944126839
16,0.064,-0.47566935132818394,-1.3408377690187694,-1.8165071203469534
16,0.065,-0.4810182031079965,-1.3322288810362148,-1.8132470841442112
16,0.066,-0.48633414540530806,-1.3236477189408826,-1.8099818643461907
16,0.067,-0.491617642184741,-1.315094282732773,-1.806711924917514
16,0.068,-0.4968691434863818,-1.3065685724118858,-1.8034377158982675
16,0.069,-0.5020890860399534,-1.2980705879782206,-1.800159674018174
16,0.07,-0.507277893843383,-1.2896003294317782,-1.796878223275161
16,0.071,-0.5124359787082953,-1.281157796772558,-1.7935937754808533
16,0.072,-0.5175637407747737,-1.2727429900005605,-1.7903067307753342
16,0.073,-0.5226615689975134,-1.264355909115785,-1.7870174781132984
16,0.074,-0.5277298416053327,-1.2559965541182319,-1.7837263957235645
16,0.075,-0.5327689265358408,-1.2476649250079015,-1.7804338515437423
16,0.076,-0.5377791818469194,-1.2393610217847932,-1.7771402036317125
16,0.077,-0.5427609561065416,-1.2310848444489075,-1.7738458005554492
16,0.078,-0.5477145887623387,-1.2228363930002442,-1.7705509817625829
16,0.079,-0.5526404104922094,-1.2146156674388031,-1.7672560779310125
16,0.08,-0.5575387435371748,-1.2064226677645846,-1.7639614113017594
16,0.081,-0.5624099020175861,-1.1982573939775882,-1.7606672959951744
16,0.082,-0.567254192233716,-1.1901198460778148,-1.7573740383115308
16,0.083,-0.5720719129516822,-1.1820100240652633,-1.7540819370169456
16,0.084,-0.5768633556755907,-1.1739279279399344,-1.750791283615525
16,0.085,-0.5816288049067163,-1.165873557701828,-1.7475023626085444
16,0.086,-0.5863685383904844,-1.1578469133509441,-1.7442154517414286
16,0.087,-0.591082827351964,-1.1498479948872822,-1.7409308222392461
16,0.088,-0.5957719367205293,-1.141876802310843,-1.7376487390313722
16,0.089,-0.6004361253443091,-1.1339333356216261,-1.7343694609659353
16,0.09,-0.6050756461949961,-1.1260175948196314,-1.7310932410146274
16,0.091,-0.6096907465635508,-1.1181295799048592,-1.72782032646841
16,0.092,-0.614281668247302,-1.1102692908773095,-1.7245509591246115
16,0.093,-0.6188486477289106,-1.102436727736982,-1.7212853754658926
16,0.094,-0.6233919163476347,-1.094631890483877,-1.7180238068315117
16,0.095,-0.627911700463305,-1.0868547791179943,-1.7147664795812994
16,0.096,-0.6324082216133944,-1.0791053936393344,-1.7115136152527288
16,0.097,-0.6368816966635421,-1.0713837340478964,-1.7082654307114384
16,0.098,-0.6413323379518688,-1.0636898003436812,-1.7050221382955502
16,0.099,-0.6457603534274003,-1.056023592526688,-1.7017839459540884
16,0.1,-0.6501659467828964,-1.0483851105969173,-1.6985510573798137
16,0.101,-0.6545493175823665,-1.0407743545543693,-1.6953236721367357
16,0.102,-0.6589106613835323,-1.0331913243990434,-1.6921019857825756
16,0.103,-0.6632501698554889,-1.02563602013094,-1.688886189986429
16,0.104,-0.6675680308917931,-1.0181084417500588,-1.6856764726418518
16,0.105,-0.671864428719203,-1.0106085892564003,-1.6824730179756033
16,0.106,-0.6761395440022725,-1.0031364626499641,-1.6792760066522368
16,0.107,-0.6803935539439989,-0.9956920619307503,-1.6760856158747492
16,0.108,-0.6846266323827059,-0.9882753870987588,-1.6729020194814648
16,0.109,-0.6888389498853386,-0.98088643815399,-1.6697253880393286
16,0.11,-0.6930306738373323,-0.9735252150964432,-1.6665558889337755
16,0.111,-0.6972019685292136,-0.966191717926119,-1.6633936864553327
16,0.112,-0.7013529952400789,-0.9588859466430173,-1.660238941883096
16,0.113,-0.705483912318091,-0.9516079012471379,-1.6570918135652288
16,0.114,-0.7095948752581257,-0.9443575817384806,-1.6539524569966062
16,0.115,-0.7136860367766914,-0.9371349881170461,-1.6508210248937374
16,0.116,-0.7177575468842439,-0.9299401203828338,-1.6476976672670776
16,0.117,-0.7218095529550059,-0.922772978535844,-1.6445825314908498
16,0.118,-0.7258421997943973,-0.9156335625760765,-1.6414757623704739
16,0.119,-0.7298556297041818,-0.9085218725035314,-1.6383775022077134
16,0.12,-0.7338499825454192,-0.9014379083182088,-1.6352878908636281
16,0.121,-0.7378253957993215,-0.8943816700201087,-1.63220706581943
16,0.122,-0.7417820046260946,-0.8873531576092306,-1.6291351622353252
16,0.123,-0.7457199419218503,-0.8803523710855754,-1.6260723130074257
16,0.124,-0.7496393383736673,-0.8733793104491422,-1.6230186488228093
16,0.125,-0.7535403225128735,-0.8664339756999316,-1.6199742982128051
16,0.126,-0.7574230207666257,-0.8595163668379433,-1.616939387604569
16,0.127,-0.7612875575078464,-0.8526264838631774,-1.6139140413710238
16,0.128,-0.7651340551035917,-0.8457643267756341,-1.6108983818792257
16,0.129,-0.7689626339619029,-0.8389298955753131,-1.607892529537216
16,0.13,-0.7727734125772074,-0.8321231902622143,-1.6048966028394216
16,0.131,-0.7765665075743211,-0.825344210836338,-1.6019107184106591
16,0.132,-0.7803420337511043,-0.8185929572976841,-1.5989349910487884
16,0.133,-0.784100104119828,-0.8118694296462526,-1.5959695337660806
16,0.134,-0.7878408299472922,-0.8051736278820436,-1.593014457829336
16,0.135,-0.791564320793747,-0.7985055520050569,-1.5900698727988039
16,0.136,-0.7952706845506599,-0.7918652020152926,-1.5871358865659526
16,0.137,-0.7989600274773714,-0.7852525779127507,-1.584212605390122
16,0.138,-0.8026324542366787,-0.7786676796974313,-1.5813001339341102
16,0.139,-0.8062880679293893,-0.7721105073693341,-1.5783985752987233
16,0.14,-0.8099269701278771,-0.7655810609284595,-1.5755080310563365
16,0.141,-0.8135492609086798,-0.7590793403748074,-1.5726286012834874
16,0.142,-0.8171550388841728,-0.7526053457083776,-1.5697603845925503
16,0.143,-0.820744401233346,-0.7461590769291699,-1.566903478162516
16,0.144,-0.8243174437317236,-0.7397405340371849,-1.5640579777689085
16,0.145,-0.8278742607804475,-0.7333497170324221,-1.5612239778128696
16,0.146,-0.8314149454345625,-0.7269866259148818,-1.5584015713494443
16,0.147,-0.834939589430521,-0.720651260684564,-1.555590850115085
16,0.148,-0.8384482832129421,-0.7143436213414684,-1.5527919045544105
16,0.149,-0.8419411159606445,-0.7080637078855953,-1.5500048238462396
16,0.15,-0.8454181756119817,-0.7018115203169447,-1.5472296959289265
16,0.151,-0.8488795488894992,-0.6955870586355164,-1.5444666075250155
