claim_id,domains
C-001,algebra;holography
C-002,algebra;holography
C-003,algebra
C-004,algebra
C-005,algebra;datasets
C-006,datasets;gravitational-waves;legacy
C-007,cosmology;gravitational-waves;holography
C-008,legacy;spectral
C-009,legacy;tensor-networks
C-010,holography;materials;spectral
C-011,algebra
C-012,cosmology;datasets
C-013,algebra
C-014,algebra
C-015,algebra
C-016,algebra
C-017,meta
C-018,algebra;holography
C-019,algebra
C-020,legacy
C-021,legacy
C-022,algebra;holography
C-023,algebra
C-024,cpp;engineering
C-025,gravitational-waves;holography;stellar-cartography
C-026,algebra;gravitational-waves;holography
C-027,holography
C-028,algebra
C-029,algebra
C-030,algebra
C-031,algebra;holography
C-032,algebra
C-033,algebra;datasets
C-034,algebra;datasets;spectral
C-035,cosmology
C-036,cosmology
C-037,cosmology;datasets
C-038,cosmology
C-039,cosmology;holography;spectral
C-040,cosmology;holography
C-041,cosmology;datasets
C-042,meta
C-043,datasets;holography
C-044,legacy
C-045,meta
C-046,algebra;legacy
C-047,holography;legacy
C-048,meta
C-049,meta
C-050,meta
C-051,meta
C-052,holography;tensor-networks
C-053,legacy;materials
C-054,algebra
C-055,meta
C-056,datasets;holography
C-057,datasets
C-058,cosmology;datasets;stellar-cartography
C-059,datasets
C-060,datasets;gravitational-waves;stellar-cartography
C-061,datasets;gravitational-waves
C-062,datasets
C-063,datasets
C-064,datasets
C-065,datasets
C-066,datasets
C-067,datasets;materials
C-068,algebra;holography
C-069,algebra
C-070,meta
C-071,meta
C-072,meta
C-073,meta
C-074,meta
C-075,meta
C-076,algebra
C-077,meta
C-078,meta
C-079,holography
C-080,meta
C-081,meta
C-082,meta
C-083,meta
C-084,meta
C-085,meta
C-086,meta
C-087,meta
C-088,algebra
C-089,meta
C-090,meta
C-091,holography
C-092,meta
C-093,holography
C-094,meta
C-095,meta
C-096,meta
C-097,algebra;holography
C-098,holography
C-099,algebra
C-100,meta
C-101,algebra
C-102,legacy
C-103,legacy
C-104,meta
C-105,meta
C-106,algebra
C-107,holography
C-108,meta
C-109,meta
C-110,meta
C-111,holography
C-112,meta
C-113,meta
C-114,meta
C-115,holography
C-116,meta
C-117,spectral
C-118,algebra
C-119,algebra
C-120,meta
C-121,meta
C-122,meta
C-123,meta
C-124,algebra
C-125,holography
C-126,meta
C-127,meta
C-128,meta
C-129,holography
C-130,holography
C-131,meta
C-132,holography
C-133,holography
C-134,meta
C-135,meta
C-136,meta
C-137,holography
C-138,algebra;holography
C-139,meta
C-140,meta
C-141,meta
C-142,meta
C-143,meta
C-144,meta
C-145,holography
C-146,meta
C-147,holography
C-148,meta
C-149,holography
C-150,holography
C-151,holography
C-152,meta
C-153,meta
C-154,holography
C-155,meta
C-156,meta
C-157,meta
C-158,holography
C-159,meta
C-160,meta
C-161,meta
C-162,algebra
C-163,meta
C-164,meta
C-165,legacy
C-166,meta
C-167,meta
C-168,algebra;holography
C-169,meta
C-170,holography
C-171,meta
C-172,meta
C-173,meta
C-174,meta
C-175,holography
C-176,meta
C-177,meta
C-178,algebra
C-179,meta
C-180,holography
C-181,meta
C-182,meta
C-183,meta
C-184,algebra
C-185,meta
C-186,holography
C-187,meta
C-188,meta
C-189,holography
C-190,meta
C-191,meta
C-192,algebra;holography
C-193,holography
C-194,meta
C-195,meta
C-196,holography
C-197,holography
C-198,meta
C-199,holography
C-200,meta
C-201,meta
C-202,meta
C-203,meta
C-204,meta
C-205,meta
C-206,holography
C-207,meta
C-208,meta
C-209,holography
C-210,meta
C-211,meta
C-212,holography
C-213,meta
C-214,holography;spectral
C-215,holography
C-216,meta
C-217,holography
C-218,algebra;holography
C-219,holography
C-220,holography
C-221,algebra
C-222,meta
C-223,holography
C-224,algebra
C-225,meta
C-226,meta
C-227,holography
C-228,meta
C-229,meta
C-230,holography
C-231,meta
C-232,holography
C-233,holography
C-234,holography
C-235,holography
C-236,meta
C-237,holography
C-238,holography
C-239,meta
C-240,holography
C-241,meta
C-242,algebra
C-243,holography
C-244,holography
C-245,holography
C-246,algebra
C-247,algebra
C-248,meta
C-249,meta
C-250,meta
C-251,holography;spectral
C-252,meta
C-253,holography
C-254,meta
C-255,spectral
C-256,holography;spectral
C-257,holography
C-258,holography
C-259,algebra
C-260,meta
C-261,meta
C-262,meta
C-263,meta
C-264,holography
C-265,meta
C-266,holography
C-267,algebra;holography
C-268,meta
C-269,meta
C-270,holography
C-271,holography
C-272,meta
C-273,meta
C-274,meta
C-275,meta
C-276,meta
C-277,holography
C-278,algebra
C-279,holography
C-280,meta
C-281,meta
C-282,holography
C-283,holography
C-284,holography
C-285,meta
C-286,meta
C-287,holography
C-288,holography
C-289,meta
C-290,meta
C-291,meta
C-292,holography
C-293,meta
C-294,meta
C-295,meta
C-296,holography
C-297,holography
C-298,holography;spectral
C-299,holography
C-300,holography
C-301,algebra
C-302,meta
C-303,holography
C-304,holography
C-305,holography;spectral
C-306,meta
C-307,holography
C-308,meta
C-309,meta
C-310,meta
C-311,meta
C-312,meta
C-313,meta
C-314,meta
C-315,meta
C-316,meta
C-317,meta
C-318,meta
C-319,holography
C-320,meta
C-321,meta
C-322,algebra
C-323,meta
C-324,holography
C-325,meta
C-326,meta
C-327,algebra
C-328,meta
C-329,holography
C-330,holography
C-331,meta
C-332,holography
C-333,meta
C-334,meta
C-335,meta
C-336,meta
C-337,algebra
C-338,meta
C-339,meta
C-340,meta
C-341,meta
C-342,holography
C-343,holography
C-344,meta
C-345,meta
C-346,meta
C-347,meta
C-348,meta
C-349,holography
C-350,spectral
C-351,meta
C-352,algebra
C-353,meta
C-354,meta
C-355,meta
C-356,holography
C-357,meta
C-358,meta
C-359,meta
C-360,meta
C-361,holography
C-362,meta
C-363,meta
C-364,meta
C-365,meta
C-366,meta
C-367,algebra
C-368,meta
C-369,meta
C-370,meta
C-371,meta
C-372,meta
C-373,meta
C-374,meta
C-375,holography
C-376,meta
C-377,meta
C-378,meta
C-379,holography
C-380,meta
C-381,meta
C-382,meta
C-383,meta
C-384,meta
C-385,meta
C-386,meta
C-387,meta
C-388,meta
C-389,meta
C-390,meta
C-391,meta
C-392,algebra;holography
C-393,meta
C-394,meta
C-395,meta
C-396,spectral
C-397,algebra
C-398,meta
C-399,legacy
C-400,datasets;holography;materials
C-401,datasets;holography;materials
C-402,datasets;holography;materials
C-403,spectral
C-404,holography
C-405,open-systems
C-406,holography;stellar-cartography;tensor-networks
C-407,algebra;holography;stellar-cartography
C-408,meta;stellar-cartography
C-409,materials
C-410,datasets
C-411,datasets
C-412,algebra;holography;visualization
C-413,meta
C-414,algebra
C-415,meta
C-416,algebra
C-417,holography;materials;visualization
C-418,datasets
C-419,algebra;holography
C-420,holography;materials
C-421,engineering;holography;materials
C-422,holography;visualization
C-423,holography;materials;visualization
C-424,holography;visualization
C-425,algebra;holography
C-426,holography
C-427,algebra;materials
C-428,cosmology;holography;visualization
C-429,holography;visualization
C-430,cosmology;holography;visualization
C-431,algebra;holography;visualization
C-432,cpp;holography;visualization
C-433,meta
C-434,holography;visualization
C-435,holography;visualization
C-436,datasets;stellar-cartography
C-437,datasets;stellar-cartography
C-438,datasets;stellar-cartography
C-439,datasets;gravitational-waves
C-440,cosmology;datasets
C-441,cosmology;datasets
C-442,datasets;stellar-cartography
C-443,algebra
